MOIS,CLIENT_ID,taux,GDP
31Dec2017 0:00:00,00000000007755,2.39,0.2
28Feb2018 0:00:00,00000000007757,2.61,1.6
30Sep2018 0:00:00,00000000008084,2.36,0.61
31May2018 0:00:00,00000000008163,2.39,-1.22
31Mar2018 0:00:00,00000000008195,2.67,-0.02
31Oct2018 0:00:00,00000000008314,2.45,-2.01
30Nov2017 0:00:00,00000000008345,2.36,0.44
30Apr2018 0:00:00,00000000008361,2.33,-1.36
31Oct2018 0:00:00,00000000008378,2.43,-0.2
30Nov2017 0:00:00,00000000008817,2.54,1.69
31Dec2017 0:00:00,00000000008900,2.28,0.33
30Apr2018 0:00:00,00000000008932,2.56,-1.51
30Sep2018 0:00:00,00000000008995,2.37,-0.84
31Jan2018 0:00:00,00000000009040,2.76,-0.02
28Feb2018 0:00:00,00000000009253,3.92,1.53
31Aug2018 0:00:00,00000000009271,3.1,0.19
30Sep2018 0:00:00,00000000009343,2.39,-0.5
31May2018 0:00:00,00000000009377,2.87,-0.07
31Aug2018 0:00:00,00000000009399,2.59,-0.07
31Dec2017 0:00:00,00000000009436,3.26,1.87
30Apr2018 0:00:00,00000000009495,2.76,0.44
30Jun2018 0:00:00,00000000009545,3.08,-2.64
31Oct2017 0:00:00,00000000009607,2.45,-0.29
31Oct2017 0:00:00,00000000009725,2.39,0.08
31Mar2018 0:00:00,00000000009740,2.26,0.65
31Aug2018 0:00:00,00000000009746,2.39,0.02
31May2018 0:00:00,00000000009847,2.5,1.22
30Nov2017 0:00:00,00000000009934,2.38,0.74
31Aug2018 0:00:00,00000000009989,3.19,-0.31
31May2018 0:00:00,00000000010018,2.85,0.68
30Jun2018 0:00:00,00000000010029,2.43,0.09
31Aug2018 0:00:00,00000000010070,2.3,0.93
31May2018 0:00:00,00000000010091,3.4,-0.85
30Sep2018 0:00:00,00000000010154,2.64,-0.14
31Oct2017 0:00:00,00000000010163,2.36,0.63
30Apr2018 0:00:00,00000000010165,2.48,0.95
31Dec2017 0:00:00,00000000010278,2.29,0.49
28Feb2018 0:00:00,00000000010435,3.91,0.31
28Feb2018 0:00:00,00000000010445,2.56,-0.29
31May2018 0:00:00,00000000010447,2.65,-1.15
31Jul2018 0:00:00,00000000010516,2.37,0.16
31Dec2017 0:00:00,00000000010531,2.36,-0.05
30Nov2017 0:00:00,00000000010615,2.49,-1.24
30Sep2018 0:00:00,00000000010745,2.72,0.85
30Jun2018 0:00:00,00000000010845,2.29,-0.51
31Jan2018 0:00:00,00000000011001,2.4,-0.73
31Mar2018 0:00:00,00000000011061,2.8,0.12
31Mar2018 0:00:00,00000000011065,2.56,-1.29
30Jun2018 0:00:00,00000000011098,2.75,-1.37
31Oct2018 0:00:00,00000000011184,2.38,0.67
28Feb2018 0:00:00,00000000011191,2.37,-0.81
30Nov2017 0:00:00,00000000011244,2.38,-0.69
31Jul2018 0:00:00,00000000011310,2.29,0.73
28Feb2018 0:00:00,00000000011397,3.34,0
28Feb2018 0:00:00,00000000011595,2.55,0.85
30Jun2018 0:00:00,00000000011645,2.8,-1.44
28Feb2018 0:00:00,00000000011762,2.67,-0.21
31Mar2018 0:00:00,00000000011765,2.26,-0.95
31Jul2018 0:00:00,00000000011816,2.72,0
30Apr2018 0:00:00,00000000011827,2.3,0.46
28Feb2018 0:00:00,00000000011833,2.49,-0.58
31Oct2018 0:00:00,00000000011851,4.09,1.87
30Sep2018 0:00:00,00000000011880,2.32,-0.28
31Dec2017 0:00:00,00000000011905,2.41,1.69
30Jun2018 0:00:00,00000000011955,2.48,0.8
30Sep2018 0:00:00,00000000011979,2.76,-0.15
31Jan2018 0:00:00,00000000012019,2.99,0.62
30Sep2018 0:00:00,00000000012052,2.49,-1.64
31Jan2018 0:00:00,00000000012162,2.39,-1.55
31Jan2018 0:00:00,00000000012173,3.11,0.73
30Sep2018 0:00:00,00000000012243,3.22,0.69
31Mar2018 0:00:00,00000000012347,2.4,2
31May2018 0:00:00,00000000012405,2.43,0.35
31Jul2018 0:00:00,00000000012523,2.36,-1.91
30Apr2018 0:00:00,00000000012739,2.57,0.75
28Feb2018 0:00:00,00000000012827,2.59,0.52
30Sep2018 0:00:00,00000000012874,2.49,0.49
30Nov2017 0:00:00,00000000012961,2.64,-0.47
28Feb2018 0:00:00,00000000013030,2.48,0.03
31Jul2018 0:00:00,00000000013115,2.35,0.29
31Mar2018 0:00:00,00000000013116,2.33,-0.13
31Aug2018 0:00:00,00000000013136,2.73,-0.09
31Aug2018 0:00:00,00000000013210,2.73,0.65
31May2018 0:00:00,00000000013225,2.38,1.4
31May2018 0:00:00,00000000013226,2.45,-0.14
30Apr2018 0:00:00,00000000013385,2.58,-1.67
31Aug2018 0:00:00,00000000013456,2.38,0.34
28Feb2018 0:00:00,00000000013457,2.35,-1.67
30Apr2018 0:00:00,00000000013475,2.56,1.06
31May2018 0:00:00,00000000013486,2.82,-1.55
30Sep2018 0:00:00,00000000013497,2.26,0.07
31Mar2018 0:00:00,00000000013588,2.3,0.81
30Jun2018 0:00:00,00000000013608,3.07,0.19
31Oct2018 0:00:00,00000000013635,2.33,-0.03
28Feb2018 0:00:00,00000000013659,2.56,0.65
28Feb2018 0:00:00,00000000013678,2.58,0.78
30Apr2018 0:00:00,00000000013728,2.27,-1.15
30Sep2018 0:00:00,00000000013784,2.29,0.68
30Sep2018 0:00:00,00000000013794,2.34,0.95
31Oct2018 0:00:00,00000000013834,2.81,-1.7
30Nov2017 0:00:00,00000000014054,2.85,0
31Dec2017 0:00:00,00000000014286,2.62,0.08
31Oct2017 0:00:00,00000000014303,2.27,0
31Mar2018 0:00:00,00000000014330,2.43,0.24
31Aug2018 0:00:00,00000000014333,2.43,-0.23
30Nov2017 0:00:00,00000000014395,2.38,-0.94
31May2018 0:00:00,00000000014456,2.61,-0.87
31Jan2018 0:00:00,00000000014506,2.75,-0.35
31Dec2017 0:00:00,00000000014532,2.87,-0.78
31Oct2018 0:00:00,00000000014579,2.31,1.04
28Feb2018 0:00:00,00000000014677,2.35,-0.44
31Oct2017 0:00:00,00000000014709,2.45,0.03
31Jan2018 0:00:00,00000000014868,2.57,-0.08
31Aug2018 0:00:00,00000000014913,2.61,0.95
30Jun2018 0:00:00,00000000014914,3.01,-2.07
31May2018 0:00:00,00000000014958,2.87,0.98
30Sep2018 0:00:00,00000000015088,2.97,-0.39
31Oct2017 0:00:00,00000000015092,3.39,1.68
31Jan2018 0:00:00,00000000015216,2.82,0.97
30Jun2018 0:00:00,00000000015458,2.59,1.47
31Jan2018 0:00:00,00000000015492,2.83,1.13
30Jun2018 0:00:00,00000000015600,2.41,-1.23
31Jul2018 0:00:00,00000000015623,2.28,-0.01
31Jul2018 0:00:00,00000000015682,2.25,-0.66
31Dec2017 0:00:00,00000000015692,2.34,-0.38
31Oct2018 0:00:00,00000000015702,2.55,0.31
31Aug2018 0:00:00,00000000015819,2.34,-1.31
31Dec2017 0:00:00,00000000015872,2.27,0.71
30Sep2018 0:00:00,00000000016008,2.41,1.26
31Dec2017 0:00:00,00000000016369,2.25,0.66
31May2018 0:00:00,00000000016436,2.34,0.3
30Nov2017 0:00:00,00000000016454,2.36,1.96
31Oct2018 0:00:00,00000000016475,2.25,-1.04
30Jun2018 0:00:00,00000000016655,3.77,-0.91
30Nov2017 0:00:00,00000000016661,2.46,-0.15
30Jun2018 0:00:00,00000000016705,2.88,0.54
31Dec2017 0:00:00,00000000016722,2.4,0.39
31Oct2017 0:00:00,00000000016742,2.33,0.76
31Dec2017 0:00:00,00000000016782,2.72,-0.19
31Oct2017 0:00:00,00000000016783,2.3,0.35
30Apr2018 0:00:00,00000000016846,2.49,-0.32
31Aug2018 0:00:00,00000000016998,2.52,1.04
30Nov2017 0:00:00,00000000017077,2.4,0.33
30Jun2018 0:00:00,00000000017199,2.38,0.37
28Feb2018 0:00:00,00000000017429,2.27,0.56
30Jun2018 0:00:00,00000000017472,2.24,1.73
31Dec2017 0:00:00,00000000017564,2.49,0.39
31May2018 0:00:00,00000000017699,3.02,2.44
31Dec2017 0:00:00,00000000017714,2.57,0.07
30Nov2017 0:00:00,00000000017784,2.31,-2.12
31Jan2018 0:00:00,00000000017792,2.26,-0.11
30Sep2018 0:00:00,00000000017935,2.38,-0.78
31Aug2018 0:00:00,00000000017963,2.66,-0.18
31Aug2018 0:00:00,00000000018017,2.36,-1.75
31Oct2017 0:00:00,00000000018037,2.37,-0.42
31Aug2018 0:00:00,00000000018109,2.66,-0.14
31May2018 0:00:00,00000000018128,2.65,2.02
31Jan2018 0:00:00,00000000018140,2.88,0.91
30Sep2018 0:00:00,00000000018291,3.14,0.86
28Feb2018 0:00:00,00000000018502,2.58,0.77
31Dec2017 0:00:00,00000000018503,2.99,0.35
31Dec2017 0:00:00,00000000018512,2.42,-1.26
28Feb2018 0:00:00,00000000018785,2.75,-0.75
30Jun2018 0:00:00,00000000018859,3,1.53
31Mar2018 0:00:00,00000000018948,2.24,1.61
31Jul2018 0:00:00,00000000018990,2.5,-1.13
31Oct2018 0:00:00,00000000019037,2.51,0.82
31Oct2017 0:00:00,00000000019086,2.26,-1.22
31Jul2018 0:00:00,00000000019124,2.36,0.07
31Oct2017 0:00:00,00000000019262,3.09,0.28
30Nov2017 0:00:00,00000000019264,2.76,0.95
28Feb2018 0:00:00,00000000019273,2.69,-0.1
31May2018 0:00:00,00000000019346,2.32,-0.31
28Feb2018 0:00:00,00000000019461,2.31,1.19
31Oct2018 0:00:00,00000000019463,2.86,-1.7
30Sep2018 0:00:00,00000000019467,2.55,-1.12
30Nov2017 0:00:00,00000000019620,2.31,-1.59
31Oct2018 0:00:00,00000000019671,2.58,0.25
31Oct2018 0:00:00,00000000019705,2.4,-0.18
31Aug2018 0:00:00,00000000019737,2.24,-0.29
31Mar2018 0:00:00,00000000019851,2.96,0.35
31Oct2017 0:00:00,00000000019892,2.59,0.08
31Aug2018 0:00:00,00000000020015,2.89,-0.12
30Nov2017 0:00:00,00000000020030,2.7,-0.25
31Jul2018 0:00:00,00000000020103,2.33,1.2
30Jun2018 0:00:00,00000000020126,2.32,-0.63
30Jun2018 0:00:00,00000000020141,2.27,-1.64
30Nov2017 0:00:00,00000000020255,2.7,0.43
31Jul2018 0:00:00,00000000020279,2.34,2.16
31Mar2018 0:00:00,00000000020394,2.71,0.94
30Nov2017 0:00:00,00000000020733,2.42,1.85
31Jul2018 0:00:00,00000000020760,2.36,0.09
31Dec2017 0:00:00,00000000020810,2.35,-1.1
31Dec2017 0:00:00,00000000020821,2.73,1.21
31Oct2018 0:00:00,00000000020822,2.28,0.24
31Jul2018 0:00:00,00000000020957,2.27,1.11
31Mar2018 0:00:00,00000000021002,2.43,1.86
30Apr2018 0:00:00,00000000021173,2.31,0.82
31Aug2018 0:00:00,00000000021228,2.93,-1.98
31May2018 0:00:00,00000000021282,3.07,-0.13
30Apr2018 0:00:00,00000000021297,2.47,-2.02
30Nov2017 0:00:00,00000000021323,2.51,-0.92
30Apr2018 0:00:00,00000000021439,3.3,0.9
31Oct2017 0:00:00,00000000021457,2.68,0.2
30Sep2018 0:00:00,00000000021629,2.33,0.17
31Jan2018 0:00:00,00000000021634,2.58,0.87
31Jul2018 0:00:00,00000000021737,2.48,0.97
31Oct2017 0:00:00,00000000021860,2.55,-0.39
31Oct2017 0:00:00,00000000021870,3.21,0.37
31Oct2017 0:00:00,00000000021994,2.93,-0.37
31Dec2017 0:00:00,00000000022160,2.71,-0.46
31May2018 0:00:00,00000000022203,2.46,0.08
31Mar2018 0:00:00,00000000022229,2.9,-0.5
31May2018 0:00:00,00000000022290,2.86,0.62
31Dec2017 0:00:00,00000000022310,2.89,-0.15
30Sep2018 0:00:00,00000000022389,2.41,-0.28
31Jul2018 0:00:00,00000000022424,2.31,-1.35
30Apr2018 0:00:00,00000000022533,2.38,-0.27
30Apr2018 0:00:00,00000000022569,2.47,0
31Oct2017 0:00:00,00000000022575,2.29,-1.08
30Sep2018 0:00:00,00000000022613,2.54,1.42
31Oct2018 0:00:00,00000000022616,2.36,0.47
31Mar2018 0:00:00,00000000022619,2.42,0.09
30Sep2018 0:00:00,00000000022679,2.25,-1.09
31Dec2017 0:00:00,00000000022872,2.57,0.46
28Feb2018 0:00:00,00000000022875,2.33,-0.62
31Dec2017 0:00:00,00000000022987,2.96,0.6
31Jul2018 0:00:00,00000000023028,2.54,-0.29
30Sep2018 0:00:00,00000000023219,2.46,-1.2
31Dec2017 0:00:00,00000000023224,2.32,2.39
30Sep2018 0:00:00,00000000023255,2.55,-1.56
30Nov2017 0:00:00,00000000023600,2.78,0.75
30Sep2018 0:00:00,00000000023649,2.31,0.51
31Dec2017 0:00:00,00000000023687,2.84,-0.23
31Oct2017 0:00:00,00000000023698,3.32,-0.97
28Feb2018 0:00:00,00000000023740,2.62,-0.89
31May2018 0:00:00,00000000023835,2.27,0.23
30Apr2018 0:00:00,00000000024043,3.62,-0.51
31Dec2017 0:00:00,00000000024239,2.28,-1.19
31Aug2018 0:00:00,00000000024285,3.42,1.37
30Apr2018 0:00:00,00000000024609,2.76,-0.3
31Oct2017 0:00:00,00000000024631,3.19,-1.04
30Jun2018 0:00:00,00000000024654,2.79,-1.87
30Nov2017 0:00:00,00000000024695,2.32,-1.16
30Apr2018 0:00:00,00000000024696,2.9,1.18
31May2018 0:00:00,00000000024702,2.59,3.19
31Dec2017 0:00:00,00000000024872,2.37,-1.89
30Sep2018 0:00:00,00000000024903,2.67,1.22
30Jun2018 0:00:00,00000000024930,2.3,0.46
30Nov2017 0:00:00,00000000024982,2.7,-0.56
31Mar2018 0:00:00,00000000025072,2.34,0.51
31Oct2018 0:00:00,00000000025102,3,-0.4
30Apr2018 0:00:00,00000000025254,2.9,1.26
30Apr2018 0:00:00,00000000025345,2.67,0.15
30Jun2018 0:00:00,00000000025458,2.42,1.16
31Jan2018 0:00:00,00000000025490,3.29,0.08
30Nov2017 0:00:00,00000000025527,2.42,0.01
31Jul2018 0:00:00,00000000025600,3.05,-1.55
31Dec2017 0:00:00,00000000025704,2.51,-0.24
31Mar2018 0:00:00,00000000025731,2.3,-0.52
31Mar2018 0:00:00,00000000025754,2.75,-0.92
30Sep2018 0:00:00,00000000025760,3.01,-1
31Aug2018 0:00:00,00000000025826,2.34,-1.96
31Aug2018 0:00:00,00000000026041,2.56,0.31
31Aug2018 0:00:00,00000000026208,2.49,0.33
31Mar2018 0:00:00,00000000026264,2.62,-0.72
30Jun2018 0:00:00,00000000026442,3.22,-0.57
30Jun2018 0:00:00,00000000026536,2.44,-0.01
31Mar2018 0:00:00,00000000026703,2.87,-1.03
31Jan2018 0:00:00,00000000026921,2.38,-0.59
31Jul2018 0:00:00,00000000026978,2.28,0.13
28Feb2018 0:00:00,00000000027096,2.26,0.98
30Apr2018 0:00:00,00000000027107,2.44,-1.82
30Apr2018 0:00:00,00000000027112,2.26,0.56
31Oct2017 0:00:00,00000000027210,2.37,1.29
31Oct2018 0:00:00,00000000027260,2.63,-1.6
31Mar2018 0:00:00,00000000027338,2.52,0.25
31Mar2018 0:00:00,00000000027761,4.13,-2.62
31Dec2017 0:00:00,00000000027900,2.44,1.1
31Oct2018 0:00:00,00000000028026,2.31,-0.98
31Oct2018 0:00:00,00000000028372,2.32,-0.48
31Oct2017 0:00:00,00000000028386,2.46,-1.6
30Nov2017 0:00:00,00000000028408,3.67,0.64
31Oct2017 0:00:00,00000000028417,2.42,0.43
31May2018 0:00:00,00000000028422,2.26,-1.35
31Aug2018 0:00:00,00000000028489,2.4,-1.89
28Feb2018 0:00:00,00000000028576,2.35,1.38
28Feb2018 0:00:00,00000000028723,3.06,1.22
30Nov2017 0:00:00,00000000028761,2.25,0.44
30Nov2017 0:00:00,00000000028952,2.29,-0.13
31Jan2018 0:00:00,00000000029128,2.76,-1.37
28Feb2018 0:00:00,00000000029158,2.43,0.79
31Mar2018 0:00:00,00000000029487,2.34,-0.81
31Oct2018 0:00:00,00000000029723,2.3,-0.57
31Dec2017 0:00:00,00000000029926,2.67,2.16
31Dec2017 0:00:00,00000000029994,2.41,1.54
31Mar2018 0:00:00,00000000030166,2.81,-1.01
31Dec2017 0:00:00,00000000030267,2.6,1.41
30Jun2018 0:00:00,00000000030480,2.41,-0.4
31Dec2017 0:00:00,00000000030640,2.32,0.85
31Jan2018 0:00:00,00000000030905,3.03,-0.67
31Jan2018 0:00:00,00000000030924,2.5,0.18
31May2018 0:00:00,00000000030969,2.31,-0.63
31Dec2017 0:00:00,00000000031072,2.27,-0.3
31Dec2017 0:00:00,00000000031550,2.91,-1.47
31Oct2018 0:00:00,00000000031692,2.64,0.79
30Apr2018 0:00:00,00000000031788,2.27,-0.16
31Oct2018 0:00:00,00000000032194,2.69,-0.66
31Aug2018 0:00:00,00000000032207,2.35,-0.65
30Jun2018 0:00:00,00000000032348,2.66,-0.59
31Aug2018 0:00:00,00000000032358,2.72,1.24
28Feb2018 0:00:00,00000000032439,2.25,-0.64
31Mar2018 0:00:00,00000000032485,2.6,-0.13
31Dec2017 0:00:00,00000000032738,2.86,0.81
31Dec2017 0:00:00,00000000032795,2.78,0.98
31May2018 0:00:00,00000000032823,2.24,-1.34
31Oct2018 0:00:00,00000000032828,2.93,0.13
31Oct2017 0:00:00,00000000032835,2.47,-0.1
30Apr2018 0:00:00,00000000033009,2.47,0.48
31Mar2018 0:00:00,00000000033160,2.34,-0.62
31Oct2018 0:00:00,00000000033167,2.34,-2.15
28Feb2018 0:00:00,00000000033231,3.24,0.08
31Dec2017 0:00:00,00000000033233,2.75,-2.47
31Jul2018 0:00:00,00000000033264,4.07,1.35
30Apr2018 0:00:00,00000000033307,3.31,-1.56
28Feb2018 0:00:00,00000000033384,2.93,-0.12
30Jun2018 0:00:00,00000000033385,2.55,-0.48
30Nov2017 0:00:00,00000000033391,2.45,1.99
31Dec2017 0:00:00,00000000033446,2.31,1.13
31Oct2017 0:00:00,00000000033545,2.93,-0.9
31Mar2018 0:00:00,00000000033602,2.53,0.68
31Oct2018 0:00:00,00000000033652,2.44,0.58
28Feb2018 0:00:00,00000000033790,2.59,0.66
31Jul2018 0:00:00,00000000033871,2.61,-0.57
31Mar2018 0:00:00,00000000033962,2.78,0.83
30Jun2018 0:00:00,00000000034140,2.74,0.64
30Sep2018 0:00:00,00000000034296,2.88,-1.05
31Jul2018 0:00:00,00000000034329,2.3,0.85
31Mar2018 0:00:00,00000000034421,2.25,0.15
31Mar2018 0:00:00,00000000034449,3.02,0.36
31Oct2018 0:00:00,00000000034596,2.33,0.74
30Apr2018 0:00:00,00000000034611,2.69,-0.4
31May2018 0:00:00,00000000034684,2.82,-0.45
30Jun2018 0:00:00,00000000034696,2.38,1.04
31Oct2018 0:00:00,00000000034719,2.26,-0.05
31May2018 0:00:00,00000000034732,3.33,-1.28
31Oct2018 0:00:00,00000000034805,2.46,1.11
31May2018 0:00:00,00000000034845,2.26,0.7
31Mar2018 0:00:00,00000000034889,2.53,-0.11
31Dec2017 0:00:00,00000000034908,4.55,-1.8
30Jun2018 0:00:00,00000000034912,2.79,1.43
30Jun2018 0:00:00,00000000034923,2.43,-0.64
31May2018 0:00:00,00000000035145,2.35,-0.76
31Oct2018 0:00:00,00000000035156,2.58,1.12
31Jan2018 0:00:00,00000000035270,2.81,-1.01
30Apr2018 0:00:00,00000000035297,3.01,-1.21
31Aug2018 0:00:00,00000000035304,2.68,0.01
30Sep2018 0:00:00,00000000035374,2.26,-0.24
31Aug2018 0:00:00,00000000035422,2.55,0.4
31Oct2018 0:00:00,00000000035424,2.63,0.16
30Sep2018 0:00:00,00000000035431,3.04,0.47
31Jul2018 0:00:00,00000000035470,2.3,-0.95
31May2018 0:00:00,00000000035640,2.96,-0.67
28Feb2018 0:00:00,00000000035644,2.32,1.13
30Apr2018 0:00:00,00000000035696,2.36,0.44
30Jun2018 0:00:00,00000000035760,2.45,-1.06
30Apr2018 0:00:00,00000000035854,2.49,0.36
31Oct2018 0:00:00,00000000035909,2.37,-0.79
31May2018 0:00:00,00000000035924,2.36,-0.3
31May2018 0:00:00,00000000035939,2.63,-0.16
31Jul2018 0:00:00,00000000035964,2.46,1.49
31Jan2018 0:00:00,00000000035979,2.52,1.49
31Jul2018 0:00:00,00000000036088,2.54,-1.02
28Feb2018 0:00:00,00000000036090,2.29,-0.31
31Dec2017 0:00:00,00000000036183,2.26,0.51
31May2018 0:00:00,00000000036194,2.45,0.71
31May2018 0:00:00,00000000036212,2.87,0.68
30Nov2017 0:00:00,00000000036221,2.83,-0.97
31Oct2017 0:00:00,00000000036307,2.36,0.92
28Feb2018 0:00:00,00000000036320,2.69,-1.13
30Sep2018 0:00:00,00000000036339,2.87,-2.07
30Apr2018 0:00:00,00000000036386,2.26,-1.48
31Jan2018 0:00:00,00000000036388,3.55,0.02
31Oct2018 0:00:00,00000000036569,2.42,-0.2
30Sep2018 0:00:00,00000000036581,3.05,-1.84
28Feb2018 0:00:00,00000000036766,2.4,-1.32
31May2018 0:00:00,00000000036835,2.46,0.56
31May2018 0:00:00,00000000036887,2.61,-1.27
31Mar2018 0:00:00,00000000037115,2.31,1.25
31Oct2017 0:00:00,00000000037194,2.56,1.54
30Sep2018 0:00:00,00000000037198,3.41,-0.38
31Oct2018 0:00:00,00000000037527,3.44,0.47
31Jan2018 0:00:00,00000000037596,2.71,0.35
31Oct2017 0:00:00,00000000037623,2.74,-0.34
31May2018 0:00:00,00000000037679,3.1,-1.37
28Feb2018 0:00:00,00000000037689,2.3,-1.77
30Nov2017 0:00:00,00000000037715,3.13,2.27
31Jan2018 0:00:00,00000000037764,2.39,-0.01
31Jul2018 0:00:00,00000000037826,2.67,-1.25
31Aug2018 0:00:00,00000000037875,2.8,-1.11
31Oct2017 0:00:00,00000000037892,2.9,0.68
31Dec2017 0:00:00,00000000037993,2.44,0.14
30Jun2018 0:00:00,00000000038207,2.57,2.18
31Mar2018 0:00:00,00000000038411,2.83,-0.14
31Oct2017 0:00:00,00000000038454,2.96,0.47
30Apr2018 0:00:00,00000000038476,2.54,-0.76
28Feb2018 0:00:00,00000000038632,2.57,-0.53
30Apr2018 0:00:00,00000000038643,2.48,-0.42
31Oct2017 0:00:00,00000000038647,2.87,0.15
31Jul2018 0:00:00,00000000038696,2.63,-1.57
31Oct2017 0:00:00,00000000038707,3.84,-0.62
31Mar2018 0:00:00,00000000038718,2.67,-0.39
31Dec2017 0:00:00,00000000038728,3.11,-0.04
28Feb2018 0:00:00,00000000038729,2.3,0.86
31Mar2018 0:00:00,00000000038749,2.44,-0.71
30Jun2018 0:00:00,00000000038787,2.55,-0.18
30Sep2018 0:00:00,00000000038840,2.78,1.18
30Apr2018 0:00:00,00000000039364,3.31,-0.11
31Dec2017 0:00:00,00000000039385,2.35,-0.26
31Jan2018 0:00:00,00000000039710,3.19,1.44
30Sep2018 0:00:00,00000000039716,2.35,-0.31
31May2018 0:00:00,00000000039740,2.25,0.16
31Aug2018 0:00:00,00000000039792,2.93,1.19
30Nov2017 0:00:00,00000000039859,3.17,-0.57
30Jun2018 0:00:00,00000000039892,2.48,-0.48
31Aug2018 0:00:00,00000000040024,3.06,-0.03
30Sep2018 0:00:00,00000000040130,2.31,-0.44
31Mar2018 0:00:00,00000000040134,2.46,1.62
30Apr2018 0:00:00,00000000040164,3.41,1.04
28Feb2018 0:00:00,00000000040330,2.31,-0.37
30Nov2017 0:00:00,00000000040504,2.4,0.69
31May2018 0:00:00,00000000040670,2.71,0.5
31Jul2018 0:00:00,00000000040761,2.27,-0.91
31Oct2017 0:00:00,00000000040896,2.58,0.5
31Oct2018 0:00:00,00000000040984,2.41,1.17
31Jul2018 0:00:00,00000000041014,2.26,-0.9
30Nov2017 0:00:00,00000000041058,2.69,-1.53
31May2018 0:00:00,00000000041082,2.3,-0.71
31May2018 0:00:00,00000000041179,2.94,-0.6
31Dec2017 0:00:00,00000000041188,2.68,-0.36
