MOIS,CLIENT_ID,pret_anterieur,compte_commercial,carte_MC,NSF,PH_autre_FI,sphere_epargne,sphere_financement,sphere_transaction,nb_produit,relation_BNC,vol_MC,vol_epargne,vol_financement,vol_transaction,TEF,mono_produit,PH
30Jun2018 0:00:00,00000000003946,0,0,0,0,1,0,0,1,1,11,,,,3980,1,1,0
30Jun2018 0:00:00,00000000004055,0,0,1,0,0,0,1,1,2,13,20110,,454000,110,2,0,0
30Jun2018 0:00:00,00000000004143,0,1,0,0,0,0,0,0,4,21,,,,,0,0,0
31Dec2017 0:00:00,00000000004187,0,0,0,0,0,1,0,1,2,12,,157000,,2300,2,0,0
31Aug2018 0:00:00,00000000004255,0,0,1,0,0,0,0,1,1,3,17440,,,1240,1,1,0
31Dec2017 0:00:00,00000000004256,0,1,1,0,1,1,1,1,3,10,20990,87000,424000,3730,3,0,0
31Jan2018 0:00:00,00000000004316,0,0,1,0,0,1,1,1,3,13,13070,178000,317000,840,3,0,1
31Jul2018 0:00:00,00000000004330,0,0,1,0,1,0,0,1,1,4,15500,,,2740,1,1,0
31Jan2018 0:00:00,00000000004393,0,1,1,0,1,0,0,1,1,5,8610,,,630,1,1,0
31Jul2018 0:00:00,00000000004400,1,0,0,0,1,0,0,1,4,7,,,,1440,1,0,1
30Nov2017 0:00:00,00000000004419,0,0,1,0,0,0,0,1,1,14,22240,,,1370,1,1,0
30Sep2018 0:00:00,00000000004601,1,0,1,0,1,1,0,1,2,21,23550,268000,,1800,2,0,0
31Mar2018 0:00:00,00000000004759,0,0,0,0,1,0,0,1,5,12,,,,2620,1,0,0
31Mar2018 0:00:00,00000000004762,0,0,1,0,1,1,0,1,2,3,16950,160000,,2060,2,0,0
31Aug2018 0:00:00,00000000004771,0,0,0,0,0,0,0,1,1,8,,,,1610,1,1,0
30Nov2017 0:00:00,00000000004809,0,1,1,0,0,0,1,1,2,14,26180,,611000,2050,2,0,0
28Feb2018 0:00:00,00000000004811,0,1,1,0,1,0,1,1,3,5,21890,,491000,2120,2,0,0
31May2018 0:00:00,00000000004857,1,1,0,0,1,0,0,1,1,13,,,,2300,1,1,0
30Sep2018 0:00:00,00000000004874,0,1,0,0,0,1,0,1,2,10,,170000,,1040,2,0,0
28Feb2018 0:00:00,00000000004943,0,0,0,0,1,0,0,1,1,9,,,,2980,1,1,0
31Jul2018 0:00:00,00000000004966,0,1,0,1,0,1,0,1,2,10,,159000,,1040,2,0,0
30Jun2018 0:00:00,00000000005258,0,0,0,0,1,1,1,1,3,9,,177000,281000,1670,3,0,0
31Dec2017 0:00:00,00000000005534,0,0,0,0,0,1,0,1,2,12,,116000,,2420,2,0,0
30Apr2018 0:00:00,00000000005709,0,0,0,0,1,1,0,1,4,8,,199000,,2880,2,0,0
30Sep2018 0:00:00,00000000005716,0,0,0,1,1,0,1,1,2,17,,,701000,1440,2,0,0
31Oct2017 0:00:00,00000000005870,0,0,0,0,0,0,0,1,1,16,,,,2650,1,1,0
31Mar2018 0:00:00,00000000005888,1,0,1,0,1,0,0,1,1,6,21080,,,2120,1,1,0
28Feb2018 0:00:00,00000000005895,0,0,0,0,0,0,1,1,2,4,,,702000,100,2,0,0
31May2018 0:00:00,00000000005938,1,0,0,0,0,0,0,1,1,15,,,,1710,1,1,0
31May2018 0:00:00,00000000006034,0,0,0,0,0,1,0,1,2,17,,255000,,2090,2,0,0
31Dec2017 0:00:00,00000000006115,0,0,1,0,0,0,0,1,1,17,15310,,,1530,1,1,0
30Jun2018 0:00:00,00000000006370,0,0,0,0,1,1,0,1,2,12,,140000,,2260,2,0,0
31Oct2018 0:00:00,00000000006909,0,0,0,0,0,0,0,1,1,4,,,,2760,1,1,0
31Oct2017 0:00:00,00000000006979,0,0,1,0,1,0,0,1,1,11,27510,,,820,1,1,0
31Dec2017 0:00:00,00000000007096,0,0,1,0,1,1,0,1,2,14,15400,149000,,1160,2,0,0
30Apr2018 0:00:00,00000000007166,0,0,1,0,0,0,0,1,1,20,130870,,,1850,1,1,0
30Apr2018 0:00:00,00000000007177,0,0,0,0,0,0,0,1,1,10,,,,4550,1,1,0
28Feb2018 0:00:00,00000000007254,0,0,0,1,0,0,0,1,1,5,,,,1640,1,1,0
31Oct2018 0:00:00,00000000007398,0,1,1,0,1,0,0,1,2,13,21410,,,730,1,0,0
30Sep2018 0:00:00,00000000007409,1,0,0,0,1,0,0,1,1,10,,,,2240,1,1,1
30Jun2018 0:00:00,00000000007446,0,0,0,0,0,0,1,1,2,4,,,562000,2470,2,0,0
31Oct2017 0:00:00,00000000007532,1,0,1,0,0,0,0,1,3,6,21300,,,1270,1,0,0
31Oct2017 0:00:00,00000000007615,0,0,1,0,0,1,0,1,2,4,21150,164000,,3650,2,0,0
31Dec2017 0:00:00,00000000007755,0,0,1,0,0,1,0,1,2,10,23880,146000,,1200,2,0,0
28Feb2018 0:00:00,00000000007757,0,1,1,0,1,0,1,1,2,17,20070,,804000,1710,2,0,0
30Sep2018 0:00:00,00000000008084,0,0,0,0,0,1,0,1,2,6,,125000,,1780,2,0,0
31May2018 0:00:00,00000000008163,0,0,0,0,0,0,1,1,2,11,,,619000,2690,2,0,0
31Mar2018 0:00:00,00000000008195,0,0,0,0,0,0,0,1,1,9,,,,2230,1,1,0
31Oct2018 0:00:00,00000000008314,0,1,0,0,0,1,1,1,3,8,,197000,407000,3260,3,0,1
30Nov2017 0:00:00,00000000008345,0,0,1,1,1,1,1,1,3,16,27320,143000,543000,1600,3,0,0
30Apr2018 0:00:00,00000000008361,0,1,1,0,1,0,0,1,1,9,19050,,,1520,1,1,0
31Oct2018 0:00:00,00000000008378,0,0,0,0,0,1,0,1,4,4,,177000,,1130,2,0,0
30Nov2017 0:00:00,00000000008817,0,0,0,0,0,1,0,1,2,5,,140000,,2560,2,0,0
31Dec2017 0:00:00,00000000008900,0,0,0,0,1,0,1,1,2,8,,,597000,1140,2,0,0
30Apr2018 0:00:00,00000000008932,1,0,0,0,1,0,0,1,1,12,,,,1640,1,1,0
30Sep2018 0:00:00,00000000008995,1,0,1,0,1,1,0,1,2,6,21080,39000,,950,2,0,0
31Jan2018 0:00:00,00000000009040,0,0,1,0,0,0,0,1,1,5,11620,,,3580,1,1,0
28Feb2018 0:00:00,00000000009253,0,0,0,1,0,0,0,1,4,11,,,,1990,1,0,0
31Aug2018 0:00:00,00000000009271,0,0,0,0,0,0,1,1,3,8,,,423000,880,2,0,0
30Sep2018 0:00:00,00000000009343,0,0,0,1,0,1,0,1,2,9,,108000,,2570,2,0,0
31May2018 0:00:00,00000000009377,0,0,0,0,0,1,0,1,4,17,,28000,,2130,2,0,0
31Aug2018 0:00:00,00000000009399,0,0,1,0,0,0,1,1,2,11,15140,,428000,1090,2,0,1
31Dec2017 0:00:00,00000000009436,0,0,0,0,0,0,0,1,1,5,,,,990,1,1,0
30Apr2018 0:00:00,00000000009495,1,0,0,0,0,1,1,1,3,12,,103000,319000,1510,3,0,0
30Jun2018 0:00:00,00000000009545,1,1,0,0,0,1,0,1,4,12,,216000,,1860,2,0,0
31Oct2017 0:00:00,00000000009607,0,1,0,0,0,0,0,1,1,12,,,,2340,1,1,0
31Oct2017 0:00:00,00000000009725,0,0,1,0,0,0,1,1,2,12,24960,,427000,4280,2,0,0
31Mar2018 0:00:00,00000000009740,0,1,0,1,0,1,1,1,3,11,,215000,415000,640,3,0,0
31Aug2018 0:00:00,00000000009746,0,0,0,0,0,0,0,1,1,14,,,,1410,1,1,0
31May2018 0:00:00,00000000009847,0,1,0,1,1,1,1,1,3,6,,125000,361000,1200,3,0,0
30Nov2017 0:00:00,00000000009934,0,0,1,0,0,1,0,1,2,12,21270,185000,,4560,2,0,0
31Aug2018 0:00:00,00000000009989,0,1,0,0,0,0,0,1,1,4,,,,2720,1,1,0
31May2018 0:00:00,00000000010018,0,1,1,0,0,1,1,1,3,14,18920,95000,439000,1900,3,0,0
30Jun2018 0:00:00,00000000010029,0,0,0,0,0,0,0,1,1,15,,,,2870,1,1,0
31Aug2018 0:00:00,00000000010070,0,0,0,0,0,0,0,1,4,8,,,,3130,1,0,0
31May2018 0:00:00,00000000010091,0,0,0,0,1,0,1,1,2,9,,,737000,1260,2,0,0
30Sep2018 0:00:00,00000000010154,1,1,1,0,1,0,0,1,2,10,24560,,,2880,1,0,0
31Oct2017 0:00:00,00000000010163,0,0,0,0,0,0,0,1,1,7,,,,2050,1,1,0
30Apr2018 0:00:00,00000000010165,0,1,0,0,0,0,0,1,1,6,,,,2390,1,1,0
31Dec2017 0:00:00,00000000010278,0,0,1,0,1,1,0,1,2,8,25520,174000,,900,2,0,0
28Feb2018 0:00:00,00000000010435,0,1,1,0,0,0,0,1,2,10,25510,,,210,1,0,0
28Feb2018 0:00:00,00000000010445,0,1,0,0,1,0,1,1,2,12,,,524000,2850,2,0,0
31May2018 0:00:00,00000000010447,0,1,1,0,0,0,0,1,1,10,11640,,,2230,1,1,0
31Jul2018 0:00:00,00000000010516,0,1,1,0,0,1,1,1,3,7,29150,101000,391000,1040,3,0,0
31Dec2017 0:00:00,00000000010531,0,1,0,0,1,1,1,1,3,13,,111000,292000,1950,3,0,0
30Nov2017 0:00:00,00000000010615,0,1,0,0,0,1,0,1,2,6,,83000,,3250,2,0,0
30Sep2018 0:00:00,00000000010745,0,0,0,0,1,0,0,1,1,3,,,,1810,1,1,0
30Jun2018 0:00:00,00000000010845,0,0,1,0,1,1,0,1,2,16,23530,93000,,3120,2,0,0
31Jan2018 0:00:00,00000000011001,0,0,1,0,0,1,0,0,1,9,16680,51000,,,1,1,0
31Mar2018 0:00:00,00000000011061,0,0,0,0,0,0,0,1,3,13,,,,2730,1,0,0
31Mar2018 0:00:00,00000000011065,0,0,0,0,1,0,0,1,1,14,,,,1650,1,1,0
30Jun2018 0:00:00,00000000011098,1,1,1,0,1,0,0,1,3,13,20720,,,2090,1,0,0
31Oct2018 0:00:00,00000000011184,0,0,1,0,0,0,0,1,1,4,13380,,,2920,1,1,0
28Feb2018 0:00:00,00000000011191,0,0,1,0,1,0,0,1,1,17,25870,,,2890,1,1,0
30Nov2017 0:00:00,00000000011244,0,0,0,0,0,0,0,1,1,11,,,,440,1,1,0
31Jul2018 0:00:00,00000000011310,0,0,1,0,1,1,0,1,2,14,21500,137000,,3220,2,0,1
28Feb2018 0:00:00,00000000011397,0,0,1,0,0,1,0,1,2,13,21590,220000,,2210,2,0,0
28Feb2018 0:00:00,00000000011595,0,0,0,0,0,0,0,1,3,12,,,,1120,1,0,0
30Jun2018 0:00:00,00000000011645,0,0,1,0,1,0,1,1,2,15,20650,,672000,2830,2,0,0
28Feb2018 0:00:00,00000000011762,0,1,0,0,1,1,0,1,2,3,,96000,,4160,2,0,0
31Mar2018 0:00:00,00000000011765,0,0,0,0,1,0,0,1,1,4,,,,1630,1,1,0
31Jul2018 0:00:00,00000000011816,0,1,1,0,0,0,0,1,1,13,23230,,,1850,1,1,0
30Apr2018 0:00:00,00000000011827,0,0,0,1,0,1,0,1,2,13,,173000,,1500,2,0,0
28Feb2018 0:00:00,00000000011833,0,0,0,0,1,0,1,1,2,10,,,754000,370,2,0,0
31Oct2018 0:00:00,00000000011851,0,0,0,0,1,1,0,0,3,4,,137000,,,1,0,0
30Sep2018 0:00:00,00000000011880,0,1,0,0,1,1,0,1,2,14,,112000,,1330,2,0,1
31Dec2017 0:00:00,00000000011905,0,0,0,0,0,0,0,1,1,14,,,,1500,1,1,0
30Jun2018 0:00:00,00000000011955,0,0,0,0,1,1,0,1,2,6,,105000,,2350,2,0,0
30Sep2018 0:00:00,00000000011979,0,1,0,0,1,0,0,1,1,17,,,,1370,1,1,0
31Jan2018 0:00:00,00000000012019,0,0,0,0,0,0,0,1,1,17,,,,1050,1,1,0
30Sep2018 0:00:00,00000000012052,0,0,0,0,0,1,0,1,2,13,,130000,,2800,2,0,0
31Jan2018 0:00:00,00000000012162,1,1,0,0,0,0,0,1,1,14,,,,3780,1,1,0
31Jan2018 0:00:00,00000000012173,0,1,1,0,0,0,0,1,1,14,20770,,,1730,1,1,0
30Sep2018 0:00:00,00000000012243,0,0,1,0,0,0,1,1,2,1,16580,,178000,2670,2,0,0
31Mar2018 0:00:00,00000000012347,1,0,1,0,1,0,0,1,3,5,17310,,,2900,1,0,0
31May2018 0:00:00,00000000012405,0,0,0,0,0,1,1,1,3,7,,174000,331000,3790,3,0,1
31Jul2018 0:00:00,00000000012523,1,1,1,0,0,1,0,1,2,16,22710,194000,,570,2,0,0
30Apr2018 0:00:00,00000000012739,0,0,0,0,0,0,1,1,2,18,,,474000,1870,2,0,0
28Feb2018 0:00:00,00000000012827,0,0,0,0,0,0,1,1,2,9,,,508000,770,2,0,0
30Sep2018 0:00:00,00000000012874,0,0,1,0,1,0,1,1,2,3,18510,,468000,3270,2,0,0
30Nov2017 0:00:00,00000000012961,0,0,0,0,0,1,0,1,2,6,,221000,,3140,2,0,0
28Feb2018 0:00:00,00000000013030,0,0,1,0,1,0,0,1,1,16,24630,,,5000,1,1,0
31Jul2018 0:00:00,00000000013115,0,0,0,0,1,0,0,1,1,13,,,,2950,1,1,0
31Mar2018 0:00:00,00000000013116,0,0,1,0,1,0,1,1,2,21,21500,,834000,3440,2,0,1
31Aug2018 0:00:00,00000000013136,0,1,1,0,1,0,0,1,1,4,25600,,,2360,1,1,0
31Aug2018 0:00:00,00000000013210,0,0,1,0,0,0,0,1,1,17,13480,,,2530,1,1,0
31May2018 0:00:00,00000000013225,0,0,0,0,0,0,0,1,1,4,,,,1830,1,1,0
31May2018 0:00:00,00000000013226,0,0,0,0,0,0,0,1,1,9,,,,1580,1,1,0
30Apr2018 0:00:00,00000000013385,0,0,0,0,0,1,0,1,2,5,,214000,,1740,2,0,0
31Aug2018 0:00:00,00000000013456,0,0,0,0,0,0,0,1,2,1,,,,3380,1,0,0
28Feb2018 0:00:00,00000000013457,0,1,1,0,1,0,0,1,1,15,23160,,,1920,1,1,0
30Apr2018 0:00:00,00000000013475,0,0,0,0,1,1,0,1,2,12,,154000,,3110,2,0,0
31May2018 0:00:00,00000000013486,0,1,0,0,1,1,0,1,2,11,,125000,,2330,2,0,0
30Sep2018 0:00:00,00000000013497,0,0,1,0,1,0,1,1,2,10,13320,,564000,2000,2,0,0
31Mar2018 0:00:00,00000000013588,0,1,1,0,0,0,0,1,1,18,17240,,,100,1,1,0
30Jun2018 0:00:00,00000000013608,0,0,1,1,0,0,0,1,1,4,11610,,,2210,1,1,0
31Oct2018 0:00:00,00000000013635,0,1,1,0,0,1,0,1,4,9,17940,112000,,3580,2,0,0
28Feb2018 0:00:00,00000000013659,0,0,0,0,1,0,0,1,1,1,,,,2130,1,1,0
28Feb2018 0:00:00,00000000013678,1,0,1,0,0,0,0,1,1,5,19100,,,1360,1,1,0
30Apr2018 0:00:00,00000000013728,0,0,0,0,1,0,0,1,1,11,,,,100,1,1,0
30Sep2018 0:00:00,00000000013784,0,1,1,0,0,1,1,1,3,11,16920,98000,435000,2650,3,0,0
30Sep2018 0:00:00,00000000013794,0,0,1,0,0,0,0,1,1,10,17330,,,1560,1,1,0
31Oct2018 0:00:00,00000000013834,1,0,0,0,0,0,0,1,1,12,,,,1150,1,1,0
30Nov2017 0:00:00,00000000014054,0,0,0,0,0,0,1,1,2,9,,,548000,2510,2,0,1
31Dec2017 0:00:00,00000000014286,0,0,1,0,0,1,1,1,3,7,25710,194000,509000,1670,3,0,0
31Oct2017 0:00:00,00000000014303,1,0,0,0,1,0,1,1,2,16,,,608000,1190,2,0,1
31Mar2018 0:00:00,00000000014330,0,0,0,1,1,0,0,1,3,14,,,,1740,1,0,0
31Aug2018 0:00:00,00000000014333,0,0,0,0,0,0,0,1,3,4,,,,1660,1,0,0
30Nov2017 0:00:00,00000000014395,1,0,1,0,1,1,1,1,3,11,28880,131000,726000,2070,3,0,0
31May2018 0:00:00,00000000014456,0,0,0,0,0,1,1,0,3,4,,184000,536000,,2,0,0
31Jan2018 0:00:00,00000000014506,0,0,0,0,0,0,1,1,2,6,,,780000,2120,2,0,0
31Dec2017 0:00:00,00000000014532,0,0,0,0,0,1,0,0,1,12,,197000,,,1,1,0
31Oct2018 0:00:00,00000000014579,1,1,1,0,1,1,1,1,3,7,17010,198000,701000,2590,3,0,1
28Feb2018 0:00:00,00000000014677,0,0,1,0,0,1,1,1,3,8,22830,185000,233000,1630,3,0,0
31Oct2017 0:00:00,00000000014709,0,1,0,0,1,0,0,1,1,0,,,,2590,1,1,0
31Jan2018 0:00:00,00000000014868,1,1,0,0,0,0,0,1,1,12,,,,3190,1,1,0
31Aug2018 0:00:00,00000000014913,0,1,1,0,1,1,0,1,2,7,14860,95000,,2030,2,0,0
30Jun2018 0:00:00,00000000014914,0,0,0,0,0,0,1,1,2,13,,,504000,2180,2,0,0
31May2018 0:00:00,00000000014958,0,0,1,0,0,0,0,1,1,3,19700,,,1900,1,1,0
30Sep2018 0:00:00,00000000015088,0,1,0,0,1,1,1,1,3,11,,238000,658000,590,3,0,0
31Oct2017 0:00:00,00000000015092,0,0,0,0,0,1,0,1,2,13,,109000,,2010,2,0,1
31Jan2018 0:00:00,00000000015216,0,0,1,0,1,0,1,1,2,7,20670,,608000,690,2,0,0
30Jun2018 0:00:00,00000000015458,0,0,1,0,1,0,0,1,2,12,15090,,,3980,1,0,1
31Jan2018 0:00:00,00000000015492,0,0,0,0,1,1,0,1,4,4,,157000,,4210,2,0,0
30Jun2018 0:00:00,00000000015600,0,0,1,0,0,0,0,1,1,14,13350,,,100,1,1,1
31Jul2018 0:00:00,00000000015623,0,0,0,0,1,0,0,1,1,11,,,,1950,1,1,0
31Jul2018 0:00:00,00000000015682,0,0,0,0,1,0,0,1,1,6,,,,1390,1,1,1
31Dec2017 0:00:00,00000000015692,0,0,1,0,0,0,0,1,1,9,18730,,,2200,1,1,0
31Oct2018 0:00:00,00000000015702,0,0,0,0,0,0,0,0,1,4,,,,,0,1,0
31Aug2018 0:00:00,00000000015819,0,0,0,1,0,1,0,1,2,15,,166000,,1960,2,0,0
31Dec2017 0:00:00,00000000015872,0,0,1,0,0,0,0,1,1,7,16190,,,100,1,1,0
30Sep2018 0:00:00,00000000016008,0,0,0,0,0,1,0,1,2,16,,126000,,2110,2,0,0
31Dec2017 0:00:00,00000000016369,0,0,0,0,0,1,0,1,4,9,,196000,,1350,2,0,0
31May2018 0:00:00,00000000016436,0,1,1,0,0,0,0,1,1,14,23850,,,1690,1,1,0
30Nov2017 0:00:00,00000000016454,0,0,1,0,0,0,0,1,1,4,15350,,,2280,1,1,0
31Oct2018 0:00:00,00000000016475,0,0,1,0,1,0,0,1,2,0,17010,,,3460,1,0,0
30Jun2018 0:00:00,00000000016655,0,1,1,0,0,0,0,1,1,5,22540,,,2220,1,1,0
30Nov2017 0:00:00,00000000016661,1,0,0,0,0,1,1,1,3,13,,195000,825000,2270,3,0,0
30Jun2018 0:00:00,00000000016705,0,0,1,0,1,0,0,1,1,14,19050,,,1180,1,1,0
31Dec2017 0:00:00,00000000016722,0,0,0,0,0,0,0,1,1,15,,,,2740,1,1,0
31Oct2017 0:00:00,00000000016742,0,1,0,0,0,0,0,1,1,6,,,,2600,1,1,1
31Dec2017 0:00:00,00000000016782,0,1,1,0,0,1,0,1,2,12,22110,139000,,4330,2,0,0
31Oct2017 0:00:00,00000000016783,0,0,1,0,0,0,0,1,1,10,17440,,,2410,1,1,0
30Apr2018 0:00:00,00000000016846,0,0,0,0,0,1,0,1,2,16,,153000,,3520,2,0,0
31Aug2018 0:00:00,00000000016998,0,1,0,0,0,1,0,1,2,0,,88000,,1650,2,0,0
30Nov2017 0:00:00,00000000017077,0,0,1,0,0,1,1,1,3,4,17960,235000,505000,510,3,0,0
30Jun2018 0:00:00,00000000017199,0,1,0,0,1,0,1,1,2,14,,,419000,1480,2,0,0
28Feb2018 0:00:00,00000000017429,0,0,0,0,0,1,0,1,2,9,,81000,,2730,2,0,0
30Jun2018 0:00:00,00000000017472,0,1,1,0,0,0,0,1,1,11,16760,,,1010,1,1,0
31Dec2017 0:00:00,00000000017564,0,0,0,0,1,0,0,1,1,17,,,,1660,1,1,0
31May2018 0:00:00,00000000017699,0,0,0,0,1,1,0,0,1,12,,153000,,,1,1,0
31Dec2017 0:00:00,00000000017714,0,0,0,0,0,0,0,1,3,11,,,,590,1,0,0
30Nov2017 0:00:00,00000000017784,0,0,0,0,0,0,0,1,1,4,,,,1520,1,1,0
31Jan2018 0:00:00,00000000017792,0,0,1,0,1,1,0,1,2,0,16730,101000,,560,2,0,0
30Sep2018 0:00:00,00000000017935,0,0,1,0,0,1,0,1,2,12,23070,235000,,3850,2,0,0
31Aug2018 0:00:00,00000000017963,0,1,0,0,0,1,0,1,2,0,,117000,,2220,2,0,0
31Aug2018 0:00:00,00000000018017,1,0,1,0,0,0,1,1,2,18,12060,,653000,640,2,0,0
31Oct2017 0:00:00,00000000018037,0,1,1,0,0,0,0,1,1,4,20060,,,2770,1,1,0
31Aug2018 0:00:00,00000000018109,1,0,1,0,0,1,0,1,2,14,22520,114000,,3600,2,0,0
31May2018 0:00:00,00000000018128,0,1,0,0,0,0,0,1,1,11,,,,1210,1,1,0
31Jan2018 0:00:00,00000000018140,1,0,0,0,1,0,0,1,1,9,,,,1410,1,1,0
30Sep2018 0:00:00,00000000018291,0,1,1,0,0,0,0,1,1,14,16450,,,3260,1,1,0
28Feb2018 0:00:00,00000000018502,0,0,1,0,0,1,0,1,2,12,23710,217000,,2630,2,0,0
31Dec2017 0:00:00,00000000018503,0,0,1,0,0,0,0,1,1,3,20010,,,2730,1,1,0
31Dec2017 0:00:00,00000000018512,1,0,0,0,0,1,0,1,2,9,,237000,,1600,2,0,0
28Feb2018 0:00:00,00000000018785,0,0,1,0,1,0,0,1,1,14,18550,,,1730,1,1,0
30Jun2018 0:00:00,00000000018859,0,0,1,0,0,0,0,1,1,15,18500,,,3000,1,1,0
31Mar2018 0:00:00,00000000018948,0,1,0,0,1,0,1,1,2,7,,,379000,1630,2,0,0
31Jul2018 0:00:00,00000000018990,1,0,0,0,1,0,1,1,2,11,,,279000,2590,2,0,1
31Oct2018 0:00:00,00000000019037,0,1,0,0,0,0,0,1,1,15,,,,660,1,1,1
31Oct2017 0:00:00,00000000019086,0,0,1,0,0,1,0,1,2,10,24040,157000,,2890,2,0,0
31Jul2018 0:00:00,00000000019124,0,1,1,0,0,1,1,1,3,13,18500,165000,498000,1400,3,0,0
31Oct2017 0:00:00,00000000019262,0,0,0,0,0,1,0,0,1,14,,149000,,,1,1,0
30Nov2017 0:00:00,00000000019264,0,0,1,0,0,0,0,1,1,7,17390,,,1070,1,1,0
28Feb2018 0:00:00,00000000019273,0,0,0,0,1,0,0,1,1,9,,,,1680,1,1,0
31May2018 0:00:00,00000000019346,1,0,0,0,0,0,0,1,1,8,,,,1630,1,1,0
28Feb2018 0:00:00,00000000019461,0,0,1,0,0,1,0,1,2,10,18530,119000,,2300,2,0,0
31Oct2018 0:00:00,00000000019463,0,0,1,0,1,0,0,1,1,12,15150,,,2880,1,1,0
30Sep2018 0:00:00,00000000019467,0,0,0,0,0,0,0,1,1,2,,,,1060,1,1,0
30Nov2017 0:00:00,00000000019620,0,1,1,0,0,1,0,1,2,13,8130,175000,,780,2,0,1
31Oct2018 0:00:00,00000000019671,0,0,1,0,1,1,0,1,2,4,22210,145000,,2450,2,0,0
31Oct2018 0:00:00,00000000019705,0,0,1,0,0,0,1,1,2,4,16020,,411000,4600,2,0,0
31Aug2018 0:00:00,00000000019737,0,0,1,1,0,0,0,0,1,7,21340,,,,0,1,0
31Mar2018 0:00:00,00000000019851,0,0,0,0,0,0,0,1,1,9,,,,1690,1,1,1
31Oct2017 0:00:00,00000000019892,0,0,1,0,1,0,0,1,1,9,13310,,,2550,1,1,0
31Aug2018 0:00:00,00000000020015,0,0,1,0,0,0,0,1,1,18,23220,,,2420,1,1,0
30Nov2017 0:00:00,00000000020030,0,0,0,0,0,0,1,1,2,11,,,570000,740,2,0,0
31Jul2018 0:00:00,00000000020103,0,1,1,0,0,1,0,1,2,6,24740,93000,,1930,2,0,0
30Jun2018 0:00:00,00000000020126,0,0,0,0,0,1,0,1,2,9,,48000,,980,2,0,0
30Jun2018 0:00:00,00000000020141,0,0,0,0,1,0,0,1,1,19,,,,2010,1,1,0
30Nov2017 0:00:00,00000000020255,0,0,0,1,0,1,0,1,2,11,,207000,,2060,2,0,0
31Jul2018 0:00:00,00000000020279,0,0,0,0,0,1,1,0,2,19,,217000,561000,,2,0,0
31Mar2018 0:00:00,00000000020394,0,0,0,0,0,1,0,1,2,15,,248000,,2170,2,0,0
