MOIS,CLIENT_ID,web_taux,web_mls,vol_taux,vol_mls
28Feb2018 0:00:00,00000000005895,0,0,0,0
31May2018 0:00:00,00000000005938,0,1,0,24
31May2018 0:00:00,00000000006034,0,0,0,0
31Dec2017 0:00:00,00000000006115,0,0,0,0
30Jun2018 0:00:00,00000000006370,0,0,0,0
31Oct2018 0:00:00,00000000006909,0,0,0,0
31Oct2017 0:00:00,00000000006979,1,1,4,3
31Dec2017 0:00:00,00000000007096,0,0,0,0
30Apr2018 0:00:00,00000000007166,1,0,21,0
30Apr2018 0:00:00,00000000007177,0,0,0,0
28Feb2018 0:00:00,00000000007254,0,0,0,0
31Oct2018 0:00:00,00000000007398,0,0,0,0
30Sep2018 0:00:00,00000000007409,0,1,0,45
30Jun2018 0:00:00,00000000007446,0,1,0,45
31Oct2017 0:00:00,00000000007532,1,0,22,0
31Oct2017 0:00:00,00000000007615,0,0,0,0
31Dec2017 0:00:00,00000000007755,0,0,0,0
28Feb2018 0:00:00,00000000007757,0,1,0,45
30Sep2018 0:00:00,00000000008084,0,1,0,45
31May2018 0:00:00,00000000008163,0,0,0,0
31Mar2018 0:00:00,00000000008195,0,0,0,0
31Oct2018 0:00:00,00000000008314,1,0,54,0
30Nov2017 0:00:00,00000000008345,0,0,0,0
30Apr2018 0:00:00,00000000008361,0,0,0,0
31Oct2018 0:00:00,00000000008378,0,1,0,45
30Nov2017 0:00:00,00000000008817,0,0,0,0
31Dec2017 0:00:00,00000000008900,0,1,0,25
30Apr2018 0:00:00,00000000008932,0,0,0,0
30Sep2018 0:00:00,00000000008995,0,0,0,0
31Jan2018 0:00:00,00000000009040,0,1,0,45
28Feb2018 0:00:00,00000000009253,0,0,0,0
31Aug2018 0:00:00,00000000009271,0,1,0,3
30Sep2018 0:00:00,00000000009343,1,1,40,45
31May2018 0:00:00,00000000009377,0,1,0,38
31Aug2018 0:00:00,00000000009399,1,1,25,45
31Dec2017 0:00:00,00000000009436,0,0,0,0
30Apr2018 0:00:00,00000000009495,0,0,0,0
30Jun2018 0:00:00,00000000009545,0,0,0,0
31Oct2017 0:00:00,00000000009607,0,0,0,0
31Oct2017 0:00:00,00000000009725,1,0,4,0
31Mar2018 0:00:00,00000000009740,1,0,52,0
31Aug2018 0:00:00,00000000009746,0,0,0,0
31May2018 0:00:00,00000000009847,0,0,0,0
30Nov2017 0:00:00,00000000009934,0,0,0,0
31Aug2018 0:00:00,00000000009989,1,0,21,0
31May2018 0:00:00,00000000010018,0,0,0,0
30Jun2018 0:00:00,00000000010029,0,0,0,0
31Aug2018 0:00:00,00000000010070,0,1,0,27
31May2018 0:00:00,00000000010091,0,0,0,0
30Sep2018 0:00:00,00000000010154,1,0,4,0
31Oct2017 0:00:00,00000000010163,1,0,19,0
30Apr2018 0:00:00,00000000010165,1,0,24,0
31Dec2017 0:00:00,00000000010278,1,0,10,0
28Feb2018 0:00:00,00000000010435,0,0,0,0
28Feb2018 0:00:00,00000000010445,0,0,0,0
31May2018 0:00:00,00000000010447,1,0,13,0
31Jul2018 0:00:00,00000000010516,0,1,0,33
31Dec2017 0:00:00,00000000010531,1,1,13,29
30Nov2017 0:00:00,00000000010615,0,0,0,0
30Sep2018 0:00:00,00000000010745,0,0,0,0
30Jun2018 0:00:00,00000000010845,1,0,10,0
31Jan2018 0:00:00,00000000011001,0,0,0,0
31Mar2018 0:00:00,00000000011061,1,1,43,3
31Mar2018 0:00:00,00000000011065,0,0,0,0
30Jun2018 0:00:00,00000000011098,0,1,0,45
31Oct2018 0:00:00,00000000011184,0,0,0,0
28Feb2018 0:00:00,00000000011191,0,0,0,0
30Nov2017 0:00:00,00000000011244,1,1,20,35
31Jul2018 0:00:00,00000000011310,0,1,0,33
28Feb2018 0:00:00,00000000011397,0,0,0,0
28Feb2018 0:00:00,00000000011595,0,0,0,0
30Jun2018 0:00:00,00000000011645,1,0,4,0
28Feb2018 0:00:00,00000000011762,0,0,0,0
31Mar2018 0:00:00,00000000011765,0,0,0,0
31Jul2018 0:00:00,00000000011816,1,1,21,27
30Apr2018 0:00:00,00000000011827,0,1,0,45
28Feb2018 0:00:00,00000000011833,1,1,55,9
31Oct2018 0:00:00,00000000011851,0,1,0,3
30Sep2018 0:00:00,00000000011880,0,0,0,0
31Dec2017 0:00:00,00000000011905,0,0,0,0
30Jun2018 0:00:00,00000000011955,1,0,35,0
30Sep2018 0:00:00,00000000011979,0,0,0,0
31Jan2018 0:00:00,00000000012019,1,0,19,0
30Sep2018 0:00:00,00000000012052,0,0,0,0
31Jan2018 0:00:00,00000000012162,0,0,0,0
31Jan2018 0:00:00,00000000012173,0,0,0,0
30Sep2018 0:00:00,00000000012243,0,0,0,0
31Mar2018 0:00:00,00000000012347,0,1,0,14
31May2018 0:00:00,00000000012405,0,1,0,12
31Jul2018 0:00:00,00000000012523,0,1,0,16
30Apr2018 0:00:00,00000000012739,0,0,0,0
28Feb2018 0:00:00,00000000012827,1,0,4,0
30Sep2018 0:00:00,00000000012874,1,1,55,3
30Nov2017 0:00:00,00000000012961,1,0,26,0
28Feb2018 0:00:00,00000000013030,0,0,0,0
31Jul2018 0:00:00,00000000013115,0,0,0,0
31Mar2018 0:00:00,00000000013116,1,0,12,0
31Aug2018 0:00:00,00000000013136,0,1,0,25
31Aug2018 0:00:00,00000000013210,0,0,0,0
31May2018 0:00:00,00000000013225,1,0,25,0
31May2018 0:00:00,00000000013226,0,1,0,36
30Apr2018 0:00:00,00000000013385,1,1,31,3
31Aug2018 0:00:00,00000000013456,0,1,0,34
28Feb2018 0:00:00,00000000013457,0,1,0,31
30Apr2018 0:00:00,00000000013475,0,0,0,0
31May2018 0:00:00,00000000013486,0,1,0,5
30Sep2018 0:00:00,00000000013497,0,0,0,0
31Mar2018 0:00:00,00000000013588,0,0,0,0
30Jun2018 0:00:00,00000000013608,0,0,0,0
31Oct2018 0:00:00,00000000013635,0,0,0,0
28Feb2018 0:00:00,00000000013659,0,0,0,0
28Feb2018 0:00:00,00000000013678,0,0,0,0
30Apr2018 0:00:00,00000000013728,0,0,0,0
30Sep2018 0:00:00,00000000013784,0,0,0,0
30Sep2018 0:00:00,00000000013794,0,1,0,45
31Oct2018 0:00:00,00000000013834,1,1,43,38
30Nov2017 0:00:00,00000000014054,1,1,55,23
31Dec2017 0:00:00,00000000014286,0,0,0,0
31Oct2017 0:00:00,00000000014303,1,1,18,22
31Mar2018 0:00:00,00000000014330,0,1,0,24
31Aug2018 0:00:00,00000000014333,0,0,0,0
30Nov2017 0:00:00,00000000014395,0,1,0,22
31May2018 0:00:00,00000000014456,0,0,0,0
31Jan2018 0:00:00,00000000014506,0,0,0,0
31Dec2017 0:00:00,00000000014532,0,0,0,0
31Oct2018 0:00:00,00000000014579,0,0,0,0
28Feb2018 0:00:00,00000000014677,0,1,0,15
31Oct2017 0:00:00,00000000014709,0,0,0,0
31Jan2018 0:00:00,00000000014868,0,0,0,0
31Aug2018 0:00:00,00000000014913,0,1,0,18
30Jun2018 0:00:00,00000000014914,0,0,0,0
31May2018 0:00:00,00000000014958,0,0,0,0
30Sep2018 0:00:00,00000000015088,0,0,0,0
31Oct2017 0:00:00,00000000015092,0,0,0,0
31Jan2018 0:00:00,00000000015216,1,0,14,0
30Jun2018 0:00:00,00000000015458,0,1,0,16
31Jan2018 0:00:00,00000000015492,1,0,30,0
30Jun2018 0:00:00,00000000015600,0,0,0,0
31Jul2018 0:00:00,00000000015623,0,0,0,0
31Jul2018 0:00:00,00000000015682,1,1,42,33
31Dec2017 0:00:00,00000000015692,0,0,0,0
31Oct2018 0:00:00,00000000015702,0,0,0,0
31Aug2018 0:00:00,00000000015819,0,0,0,0
31Dec2017 0:00:00,00000000015872,0,0,0,0
30Sep2018 0:00:00,00000000016008,0,0,0,0
31Dec2017 0:00:00,00000000016369,0,0,0,0
31May2018 0:00:00,00000000016436,0,0,0,0
30Nov2017 0:00:00,00000000016454,0,0,0,0
31Oct2018 0:00:00,00000000016475,0,1,0,33
30Jun2018 0:00:00,00000000016655,0,0,0,0
30Nov2017 0:00:00,00000000016661,0,0,0,0
30Jun2018 0:00:00,00000000016705,1,0,47,0
31Dec2017 0:00:00,00000000016722,0,1,0,3
31Oct2017 0:00:00,00000000016742,1,0,51,0
31Dec2017 0:00:00,00000000016782,0,0,0,0
31Oct2017 0:00:00,00000000016783,0,0,0,0
30Apr2018 0:00:00,00000000016846,1,0,33,0
31Aug2018 0:00:00,00000000016998,0,1,0,45
30Nov2017 0:00:00,00000000017077,0,0,0,0
30Jun2018 0:00:00,00000000017199,0,1,0,3
28Feb2018 0:00:00,00000000017429,1,1,17,7
30Jun2018 0:00:00,00000000017472,0,0,0,0
31Dec2017 0:00:00,00000000017564,0,0,0,0
31May2018 0:00:00,00000000017699,0,0,0,0
31Dec2017 0:00:00,00000000017714,1,1,46,9
30Nov2017 0:00:00,00000000017784,0,0,0,0
31Jan2018 0:00:00,00000000017792,0,0,0,0
30Sep2018 0:00:00,00000000017935,0,0,0,0
31Aug2018 0:00:00,00000000017963,0,0,0,0
31Aug2018 0:00:00,00000000018017,0,0,0,0
31Oct2017 0:00:00,00000000018037,0,1,0,32
31Aug2018 0:00:00,00000000018109,1,1,24,45
31May2018 0:00:00,00000000018128,0,0,0,0
31Jan2018 0:00:00,00000000018140,0,0,0,0
30Sep2018 0:00:00,00000000018291,0,0,0,0
28Feb2018 0:00:00,00000000018502,1,0,29,0
31Dec2017 0:00:00,00000000018503,0,0,0,0
31Dec2017 0:00:00,00000000018512,0,0,0,0
28Feb2018 0:00:00,00000000018785,0,0,0,0
30Jun2018 0:00:00,00000000018859,0,0,0,0
31Mar2018 0:00:00,00000000018948,1,0,4,0
31Jul2018 0:00:00,00000000018990,0,0,0,0
31Oct2018 0:00:00,00000000019037,1,1,41,24
31Oct2017 0:00:00,00000000019086,0,0,0,0
31Jul2018 0:00:00,00000000019124,0,1,0,34
31Oct2017 0:00:00,00000000019262,0,0,0,0
30Nov2017 0:00:00,00000000019264,0,0,0,0
28Feb2018 0:00:00,00000000019273,0,0,0,0
31May2018 0:00:00,00000000019346,0,1,0,25
28Feb2018 0:00:00,00000000019461,1,0,26,0
31Oct2018 0:00:00,00000000019463,0,0,0,0
30Sep2018 0:00:00,00000000019467,0,1,0,45
30Nov2017 0:00:00,00000000019620,0,0,0,0
31Oct2018 0:00:00,00000000019671,0,1,0,45
31Oct2018 0:00:00,00000000019705,0,0,0,0
31Aug2018 0:00:00,00000000019737,0,0,0,0
31Mar2018 0:00:00,00000000019851,1,0,55,0
31Oct2017 0:00:00,00000000019892,0,1,0,29
31Aug2018 0:00:00,00000000020015,0,0,0,0
30Nov2017 0:00:00,00000000020030,0,1,0,13
31Jul2018 0:00:00,00000000020103,1,0,55,0
30Jun2018 0:00:00,00000000020126,0,0,0,0
30Jun2018 0:00:00,00000000020141,0,0,0,0
30Nov2017 0:00:00,00000000020255,1,1,55,3
31Jul2018 0:00:00,00000000020279,0,0,0,0
31Mar2018 0:00:00,00000000020394,0,0,0,0
30Nov2017 0:00:00,00000000020733,0,0,0,0
31Jul2018 0:00:00,00000000020760,1,1,4,26
31Dec2017 0:00:00,00000000020810,1,1,47,11
31Dec2017 0:00:00,00000000020821,1,0,19,0
31Oct2018 0:00:00,00000000020822,0,1,0,28
31Jul2018 0:00:00,00000000020957,0,1,0,35
31Mar2018 0:00:00,00000000021002,0,1,0,19
30Apr2018 0:00:00,00000000021173,1,1,4,17
31Aug2018 0:00:00,00000000021228,0,1,0,39
31May2018 0:00:00,00000000021282,0,1,0,17
30Apr2018 0:00:00,00000000021297,1,0,4,0
30Nov2017 0:00:00,00000000021323,1,0,32,0
30Apr2018 0:00:00,00000000021439,0,1,0,3
31Oct2017 0:00:00,00000000021457,1,1,19,32
30Sep2018 0:00:00,00000000021629,0,0,0,0
31Jan2018 0:00:00,00000000021634,0,0,0,0
31Jul2018 0:00:00,00000000021737,0,0,0,0
31Oct2017 0:00:00,00000000021860,0,1,0,31
31Oct2017 0:00:00,00000000021870,0,1,0,25
31Oct2017 0:00:00,00000000021994,0,0,0,0
31Dec2017 0:00:00,00000000022160,0,0,0,0
31May2018 0:00:00,00000000022203,0,0,0,0
31Mar2018 0:00:00,00000000022229,1,1,41,23
31May2018 0:00:00,00000000022290,0,1,0,39
31Dec2017 0:00:00,00000000022310,1,1,12,16
30Sep2018 0:00:00,00000000022389,0,1,0,20
31Jul2018 0:00:00,00000000022424,0,1,0,3
30Apr2018 0:00:00,00000000022533,0,1,0,37
30Apr2018 0:00:00,00000000022569,0,1,0,19
31Oct2017 0:00:00,00000000022575,0,1,0,27
30Sep2018 0:00:00,00000000022613,0,1,0,33
31Oct2018 0:00:00,00000000022616,0,0,0,0
31Mar2018 0:00:00,00000000022619,1,0,49,0
30Sep2018 0:00:00,00000000022679,0,0,0,0
31Dec2017 0:00:00,00000000022872,1,1,4,3
28Feb2018 0:00:00,00000000022875,1,1,46,43
31Dec2017 0:00:00,00000000022987,0,0,0,0
31Jul2018 0:00:00,00000000023028,1,0,27,0
30Sep2018 0:00:00,00000000023219,1,1,4,20
31Dec2017 0:00:00,00000000023224,0,0,0,0
30Sep2018 0:00:00,00000000023255,0,0,0,0
30Nov2017 0:00:00,00000000023600,1,1,4,12
30Sep2018 0:00:00,00000000023649,0,1,0,45
31Dec2017 0:00:00,00000000023687,0,0,0,0
31Oct2017 0:00:00,00000000023698,0,1,0,38
28Feb2018 0:00:00,00000000023740,1,1,55,45
31May2018 0:00:00,00000000023835,0,0,0,0
30Apr2018 0:00:00,00000000024043,1,1,16,10
31Dec2017 0:00:00,00000000024239,1,0,12,0
31Aug2018 0:00:00,00000000024285,0,0,0,0
30Apr2018 0:00:00,00000000024609,0,1,0,39
31Oct2017 0:00:00,00000000024631,0,0,0,0
30Jun2018 0:00:00,00000000024654,0,9,0,0
30Nov2017 0:00:00,00000000024695,0,0,0,0
30Apr2018 0:00:00,00000000024696,0,0,0,0
31May2018 0:00:00,00000000024702,0,0,0,0
31Dec2017 0:00:00,00000000024872,1,0,41,0
30Sep2018 0:00:00,00000000024903,1,0,55,0
30Jun2018 0:00:00,00000000024930,0,1,0,3
30Nov2017 0:00:00,00000000024982,0,1,0,40
31Mar2018 0:00:00,00000000025072,0,1,0,45
31Oct2018 0:00:00,00000000025102,0,0,0,0
30Apr2018 0:00:00,00000000025254,0,1,0,45
30Apr2018 0:00:00,00000000025345,0,1,0,45
30Jun2018 0:00:00,00000000025458,0,0,0,0
31Jan2018 0:00:00,00000000025490,0,0,0,0
30Nov2017 0:00:00,00000000025527,1,1,36,34
31Jul2018 0:00:00,00000000025600,1,0,54,0
31Dec2017 0:00:00,00000000025704,0,1,0,45
31Mar2018 0:00:00,00000000025731,1,0,20,0
31Mar2018 0:00:00,00000000025754,0,0,0,0
30Sep2018 0:00:00,00000000025760,0,0,0,0
31Aug2018 0:00:00,00000000025826,0,1,0,18
31Aug2018 0:00:00,00000000026041,1,0,45,0
31Aug2018 0:00:00,00000000026208,0,0,0,0
31Mar2018 0:00:00,00000000026264,0,0,0,0
30Jun2018 0:00:00,00000000026442,0,1,0,27
30Jun2018 0:00:00,00000000026536,0,1,0,9
31Mar2018 0:00:00,00000000026703,1,0,31,0
31Jan2018 0:00:00,00000000026921,0,0,0,0
31Jul2018 0:00:00,00000000026978,0,0,0,0
28Feb2018 0:00:00,00000000027096,1,0,4,0
30Apr2018 0:00:00,00000000027107,1,0,11,0
30Apr2018 0:00:00,00000000027112,1,0,32,0
31Oct2017 0:00:00,00000000027210,0,1,0,42
31Oct2018 0:00:00,00000000027260,0,0,0,0
31Mar2018 0:00:00,00000000027338,1,1,7,45
31Mar2018 0:00:00,00000000027761,0,0,0,0
31Dec2017 0:00:00,00000000027900,1,1,22,10
31Oct2018 0:00:00,00000000028026,0,1,0,39
31Oct2018 0:00:00,00000000028372,0,0,0,0
31Oct2017 0:00:00,00000000028386,1,0,19,0
30Nov2017 0:00:00,00000000028408,0,0,0,0
31Oct2017 0:00:00,00000000028417,1,0,49,0
31May2018 0:00:00,00000000028422,0,1,0,5
31Aug2018 0:00:00,00000000028489,1,0,10,0
28Feb2018 0:00:00,00000000028576,0,0,0,0
28Feb2018 0:00:00,00000000028723,1,1,28,3
30Nov2017 0:00:00,00000000028761,0,1,0,17
30Nov2017 0:00:00,00000000028952,0,0,0,0
31Jan2018 0:00:00,00000000029128,0,0,0,0
28Feb2018 0:00:00,00000000029158,0,1,0,33
31Mar2018 0:00:00,00000000029487,0,0,0,0
31Oct2018 0:00:00,00000000029723,0,0,0,0
31Dec2017 0:00:00,00000000029926,1,1,21,37
31Dec2017 0:00:00,00000000029994,0,1,0,26
31Mar2018 0:00:00,00000000030166,0,1,0,45
31Dec2017 0:00:00,00000000030267,1,1,38,12
30Jun2018 0:00:00,00000000030480,0,1,0,8
31Dec2017 0:00:00,00000000030640,1,0,5,0
31Jan2018 0:00:00,00000000030905,1,0,4,0
31Jan2018 0:00:00,00000000030924,1,0,22,0
31May2018 0:00:00,00000000030969,0,0,0,0
31Dec2017 0:00:00,00000000031072,0,0,0,0
31Dec2017 0:00:00,00000000031550,0,1,0,45
31Oct2018 0:00:00,00000000031692,0,0,0,0
30Apr2018 0:00:00,00000000031788,1,1,39,40
31Oct2018 0:00:00,00000000032194,0,1,0,4
31Aug2018 0:00:00,00000000032207,1,0,55,0
30Jun2018 0:00:00,00000000032348,0,1,0,39
31Aug2018 0:00:00,00000000032358,0,0,0,0
28Feb2018 0:00:00,00000000032439,0,0,0,0
31Mar2018 0:00:00,00000000032485,0,0,0,0
31Dec2017 0:00:00,00000000032738,0,0,0,0
31Dec2017 0:00:00,00000000032795,0,0,0,0
31May2018 0:00:00,00000000032823,1,0,4,0
31Oct2018 0:00:00,00000000032828,0,1,0,37
31Oct2017 0:00:00,00000000032835,0,0,0,0
30Apr2018 0:00:00,00000000033009,1,0,6,0
31Mar2018 0:00:00,00000000033160,0,1,0,41
31Oct2018 0:00:00,00000000033167,1,0,40,0
28Feb2018 0:00:00,00000000033231,1,0,47,0
31Dec2017 0:00:00,00000000033233,0,1,0,41
31Jul2018 0:00:00,00000000033264,0,1,0,45
30Apr2018 0:00:00,00000000033307,0,1,0,34
28Feb2018 0:00:00,00000000033384,0,0,0,0
30Jun2018 0:00:00,00000000033385,0,0,0,0
30Nov2017 0:00:00,00000000033391,0,0,0,0
31Dec2017 0:00:00,00000000033446,0,0,0,0
31Oct2017 0:00:00,00000000033545,0,1,0,45
31Mar2018 0:00:00,00000000033602,0,0,0,0
31Oct2018 0:00:00,00000000033652,0,0,0,0
28Feb2018 0:00:00,00000000033790,0,1,0,4
31Jul2018 0:00:00,00000000033871,0,1,0,43
31Mar2018 0:00:00,00000000033962,0,1,0,45
30Jun2018 0:00:00,00000000034140,0,1,0,28
30Sep2018 0:00:00,00000000034296,0,0,0,0
31Jul2018 0:00:00,00000000034329,1,1,48,23
31Mar2018 0:00:00,00000000034421,0,1,0,37
31Mar2018 0:00:00,00000000034449,0,0,0,0
31Oct2018 0:00:00,00000000034596,0,0,0,0
30Apr2018 0:00:00,00000000034611,1,0,55,0
31May2018 0:00:00,00000000034684,0,1,0,45
30Jun2018 0:00:00,00000000034696,0,0,0,0
31Oct2018 0:00:00,00000000034719,1,0,26,0
31May2018 0:00:00,00000000034732,0,0,0,0
31Oct2018 0:00:00,00000000034805,1,0,55,0
31May2018 0:00:00,00000000034845,0,1,0,37
31Mar2018 0:00:00,00000000034889,1,0,16,0
31Dec2017 0:00:00,00000000034908,0,0,0,0
30Jun2018 0:00:00,00000000034912,0,0,0,0
30Jun2018 0:00:00,00000000034923,1,0,24,0
31May2018 0:00:00,00000000035145,0,0,0,0
31Oct2018 0:00:00,00000000035156,0,1,0,45
31Jan2018 0:00:00,00000000035270,0,1,0,29
30Apr2018 0:00:00,00000000035297,0,0,0,0
31Aug2018 0:00:00,00000000035304,0,0,0,0
30Sep2018 0:00:00,00000000035374,1,0,51,0
31Aug2018 0:00:00,00000000035422,1,0,4,0
31Oct2018 0:00:00,00000000035424,0,0,0,0
30Sep2018 0:00:00,00000000035431,0,1,0,45
31Jul2018 0:00:00,00000000035470,0,0,0,0
31May2018 0:00:00,00000000035640,0,0,0,0
28Feb2018 0:00:00,00000000035644,1,1,20,30
30Apr2018 0:00:00,00000000035696,0,1,0,19
30Jun2018 0:00:00,00000000035760,1,0,22,0
30Apr2018 0:00:00,00000000035854,0,1,0,42
31Oct2018 0:00:00,00000000035909,0,0,0,0
31May2018 0:00:00,00000000035924,0,0,0,0
31May2018 0:00:00,00000000035939,0,0,0,0
31Jul2018 0:00:00,00000000035964,0,0,0,0
31Jan2018 0:00:00,00000000035979,0,0,0,0
31Jul2018 0:00:00,00000000036088,0,1,0,10
28Feb2018 0:00:00,00000000036090,0,0,0,0
31Dec2017 0:00:00,00000000036183,0,0,0,0
31May2018 0:00:00,00000000036194,1,0,34,0
31May2018 0:00:00,00000000036212,0,0,0,0
30Nov2017 0:00:00,00000000036221,0,1,0,29
31Oct2017 0:00:00,00000000036307,1,0,19,0
28Feb2018 0:00:00,00000000036320,0,0,0,0
30Sep2018 0:00:00,00000000036339,0,1,0,34
30Apr2018 0:00:00,00000000036386,0,0,0,0
31Jan2018 0:00:00,00000000036388,0,1,0,34
31Oct2018 0:00:00,00000000036569,0,0,0,0
30Sep2018 0:00:00,00000000036581,1,0,24,0
28Feb2018 0:00:00,00000000036766,0,0,0,0
31May2018 0:00:00,00000000036835,0,0,0,0
31May2018 0:00:00,00000000036887,0,1,0,41
31Mar2018 0:00:00,00000000037115,0,0,0,0
31Oct2017 0:00:00,00000000037194,0,0,0,0
30Sep2018 0:00:00,00000000037198,0,0,0,0
31Oct2018 0:00:00,00000000037527,0,0,0,0
31Jan2018 0:00:00,00000000037596,0,0,0,0
31Oct2017 0:00:00,00000000037623,0,1,0,3
31May2018 0:00:00,00000000037679,0,1,0,18
28Feb2018 0:00:00,00000000037689,1,0,32,0
30Nov2017 0:00:00,00000000037715,0,0,0,0
31Jan2018 0:00:00,00000000037764,0,1,0,20
31Jul2018 0:00:00,00000000037826,0,0,0,0
31Aug2018 0:00:00,00000000037875,0,1,0,29
31Oct2017 0:00:00,00000000037892,0,0,0,0
31Dec2017 0:00:00,00000000037993,0,1,0,43
30Jun2018 0:00:00,00000000038207,0,0,0,0
31Mar2018 0:00:00,00000000038411,1,1,14,28
31Oct2017 0:00:00,00000000038454,0,1,0,15
30Apr2018 0:00:00,00000000038476,0,0,0,0
28Feb2018 0:00:00,00000000038632,1,0,46,0
30Apr2018 0:00:00,00000000038643,1,0,18,0
31Oct2017 0:00:00,00000000038647,1,1,25,19
31Jul2018 0:00:00,00000000038696,0,0,0,0
31Oct2017 0:00:00,00000000038707,0,0,0,0
31Mar2018 0:00:00,00000000038718,0,0,0,0
31Dec2017 0:00:00,00000000038728,1,1,19,11
28Feb2018 0:00:00,00000000038729,0,1,0,45
31Mar2018 0:00:00,00000000038749,0,1,0,18
30Jun2018 0:00:00,00000000038787,1,0,31,0
30Sep2018 0:00:00,00000000038840,0,0,0,0
30Apr2018 0:00:00,00000000039364,1,0,38,0
31Dec2017 0:00:00,00000000039385,0,0,0,0
31Jan2018 0:00:00,00000000039710,0,0,0,0
30Sep2018 0:00:00,00000000039716,0,1,0,33
31May2018 0:00:00,00000000039740,1,0,38,0
31Aug2018 0:00:00,00000000039792,0,0,0,0
30Nov2017 0:00:00,00000000039859,1,1,50,6
30Jun2018 0:00:00,00000000039892,0,0,0,0
31Aug2018 0:00:00,00000000040024,1,0,6,0
30Sep2018 0:00:00,00000000040130,1,1,21,6
31Mar2018 0:00:00,00000000040134,0,0,0,0
30Apr2018 0:00:00,00000000040164,0,0,0,0
28Feb2018 0:00:00,00000000040330,0,0,0,0
30Nov2017 0:00:00,00000000040504,0,1,0,3
31May2018 0:00:00,00000000040670,0,1,0,17
31Jul2018 0:00:00,00000000040761,0,0,0,0
31Oct2017 0:00:00,00000000040896,0,0,0,0
31Oct2018 0:00:00,00000000040984,0,0,0,0
31Jul2018 0:00:00,00000000041014,0,1,0,20
30Nov2017 0:00:00,00000000041058,0,0,0,0
31May2018 0:00:00,00000000041082,0,0,0,0
31May2018 0:00:00,00000000041179,0,0,0,0
31Dec2017 0:00:00,00000000041188,0,0,0,0
30Nov2017 0:00:00,00000000041190,0,0,0,0
31May2018 0:00:00,00000000041219,0,0,0,0
31Mar2018 0:00:00,00000000041337,0,0,0,0
30Apr2018 0:00:00,00000000041341,0,1,0,45
31Jan2018 0:00:00,00000000041377,1,0,40,0
30Jun2018 0:00:00,00000000041428,0,1,0,45
31Dec2017 0:00:00,00000000041490,1,0,55,0
28Feb2018 0:00:00,00000000041506,0,1,0,45
