MOIS,CLIENT_ID,homme,courriel,Langue_Francais,naissance,logement,profession,nb_enfant,ville,education,age,revenu,revenu_foyer
31Aug2018 0:00:00,00000000003605,0,1,0,0,1,4,3,2,1,88,82000,214000
28Feb2018 0:00:00,00000000003923,0,1,0,0,0,4,0,6,1,44,57000,139000
30Jun2018 0:00:00,00000000003946,1,0,1,0,1,3,0,6,2,20,68000,68000
30Jun2018 0:00:00,00000000004055,1,0,1,0,1,4,0,6,1,63,75000,75000
30Jun2018 0:00:00,00000000004143,0,1,0,0,0,2,1,5,2,68,81000,81000
31Dec2017 0:00:00,00000000004187,1,1,1,1,1,5,1,3,5,56,47000,72000
31Aug2018 0:00:00,00000000004255,1,0,1,0,0,1,5,6,1,53,72000,72000
31Dec2017 0:00:00,00000000004256,0,1,0,0,0,1,0,1,5,26,28000,69000
31Jan2018 0:00:00,00000000004316,1,1,1,1,0,2,3,6,3,61,59000,278000
31Jul2018 0:00:00,00000000004330,0,1,0,0,0,4,0,2,5,65,75000,84000
31Jan2018 0:00:00,00000000004393,1,1,0,0,0,3,0,6,1,36,49000,196000
31Jul2018 0:00:00,00000000004400,1,1,0,0,0,1,0,6,1,51,52000,247000
30Nov2017 0:00:00,00000000004419,0,1,0,1,0,1,2,5,1,74,71000,258000
30Sep2018 0:00:00,00000000004601,0,1,1,0,0,2,0,2,4,53,72000,175000
31Mar2018 0:00:00,00000000004759,0,1,1,1,0,6,3,1,2,48,50000,170000
31Mar2018 0:00:00,00000000004762,1,0,1,0,0,2,0,3,4,27,74000,80000
31Aug2018 0:00:00,00000000004771,0,1,0,0,0,6,0,2,1,60,74000,250000
30Nov2017 0:00:00,00000000004809,1,1,0,0,0,2,0,6,2,999,81000,101000
28Feb2018 0:00:00,00000000004811,1,1,1,0,0,2,3,3,4,48,76000,76000
31May2018 0:00:00,00000000004857,1,1,1,0,1,2,0,6,4,40,44000,44000
30Sep2018 0:00:00,00000000004874,1,1,1,0,1,3,0,6,1,28,89000,89000
28Feb2018 0:00:00,00000000004943,1,0,0,1,0,2,1,4,3,55,102000,102000
31Jul2018 0:00:00,00000000004966,1,1,1,0,0,6,0,5,5,41,62000,196000
30Jun2018 0:00:00,00000000005258,0,1,0,1,0,4,3,4,3,77,74000,119000
31Dec2017 0:00:00,00000000005534,1,1,0,0,1,5,0,4,5,31,78000,78000
30Apr2018 0:00:00,00000000005709,0,1,1,1,1,2,1,5,1,70,45000,45000
30Sep2018 0:00:00,00000000005716,1,0,0,0,0,1,0,3,4,19,38000,66000
31Oct2017 0:00:00,00000000005870,1,1,1,1,0,3,1,6,1,56,97000,97000
31Mar2018 0:00:00,00000000005888,1,0,1,0,1,2,0,5,1,53,76000,233000
28Feb2018 0:00:00,00000000005895,1,1,1,1,0,3,3,4,2,33,31000,116000
31May2018 0:00:00,00000000005938,0,1,0,0,0,1,2,4,5,29,63000,218000
31May2018 0:00:00,00000000006034,0,1,0,0,0,1,0,6,3,70,40000,239000
31Dec2017 0:00:00,00000000006115,1,0,1,0,0,1,0,4,4,29,63000,63000
30Jun2018 0:00:00,00000000006370,0,0,1,0,0,4,1,5,5,20,37000,67000
31Oct2018 0:00:00,00000000006909,0,1,1,1,0,3,1,5,4,57,42000,237000
31Oct2017 0:00:00,00000000006979,1,1,0,0,0,6,0,6,1,48,30000,144000
31Dec2017 0:00:00,00000000007096,1,1,0,1,1,1,5,5,3,66,81000,91000
30Apr2018 0:00:00,00000000007166,1,0,1,0,0,2,0,6,4,40,67000,136000
30Apr2018 0:00:00,00000000007177,1,0,1,0,0,2,0,2,5,49,37000,118000
28Feb2018 0:00:00,00000000007254,1,1,1,0,0,1,0,5,1,36,65000,65000
31Oct2018 0:00:00,00000000007398,0,1,1,0,0,1,0,6,4,43,17000,195000
30Sep2018 0:00:00,00000000007409,1,0,1,0,1,3,1,5,2,82,81000,315000
30Jun2018 0:00:00,00000000007446,1,1,1,0,1,1,3,2,1,73,45000,81000
31Oct2017 0:00:00,00000000007532,0,0,0,1,0,5,1,3,1,74,39000,107000
31Oct2017 0:00:00,00000000007615,1,0,0,1,0,4,3,3,1,44,55000,55000
31Dec2017 0:00:00,00000000007755,0,1,0,0,1,3,0,5,4,52,49000,75000
28Feb2018 0:00:00,00000000007757,0,1,1,0,0,2,0,5,5,57,58000,175000
30Sep2018 0:00:00,00000000008084,1,0,0,1,0,4,2,6,1,999,93000,93000
31May2018 0:00:00,00000000008163,1,1,1,1,0,4,1,2,1,46,56000,76000
31Mar2018 0:00:00,00000000008195,0,1,0,0,0,1,0,1,1,54,94000,119000
31Oct2018 0:00:00,00000000008314,1,1,0,0,0,3,0,6,1,48,60000,288000
30Nov2017 0:00:00,00000000008345,0,0,1,0,0,5,0,1,5,54,98000,98000
30Apr2018 0:00:00,00000000008361,1,1,1,0,0,4,4,6,3,77,92000,92000
31Oct2018 0:00:00,00000000008378,0,0,1,1,0,6,5,5,2,70,84000,84000
30Nov2017 0:00:00,00000000008817,0,1,0,1,0,4,3,6,1,42,33000,161000
31Dec2017 0:00:00,00000000008900,0,1,0,0,1,3,0,5,1,41,53000,162000
30Apr2018 0:00:00,00000000008932,0,0,0,0,0,1,0,6,1,79,46000,46000
30Sep2018 0:00:00,00000000008995,0,1,1,0,1,3,0,1,4,58,10000,142000
30Sep2018 0:00:00,00000000008995,0,1,1,0,1,3,0,1,4,58,10000,142000
31Jan2018 0:00:00,00000000009040,1,1,1,0,0,1,0,5,3,32,54000,90000
28Feb2018 0:00:00,00000000009253,1,1,1,0,0,1,0,1,2,27,10000,166000
28Feb2018 0:00:00,00000000009253,1,1,1,0,0,1,0,1,2,27,10000,166000
31Aug2018 0:00:00,00000000009271,1,0,1,0,0,6,0,5,1,61,66000,66000
30Sep2018 0:00:00,00000000009343,1,0,0,1,1,1,2,3,4,71,66000,66000
31May2018 0:00:00,00000000009377,0,1,1,0,0,1,0,3,2,54,57000,140000
31Aug2018 0:00:00,00000000009399,1,1,1,0,1,1,0,1,3,59,86000,186000
31Dec2017 0:00:00,00000000009436,0,1,1,0,1,1,0,6,3,52,41000,257000
30Apr2018 0:00:00,00000000009495,1,1,0,0,1,3,0,4,5,211,37000,64000
30Jun2018 0:00:00,00000000009545,1,1,0,0,0,3,0,4,3,46,60000,94000
31Oct2017 0:00:00,00000000009607,0,1,1,0,0,3,0,3,2,60,51000,110000
31Oct2017 0:00:00,00000000009725,0,1,0,0,1,1,0,4,3,999,21000,56000
31Mar2018 0:00:00,00000000009740,1,0,1,0,0,1,2,3,2,39,78000,227000
31Aug2018 0:00:00,00000000009746,0,1,1,0,1,1,2,2,3,48,87000,219000
31May2018 0:00:00,00000000009847,0,1,0,1,1,5,4,6,2,75,63000,210000
30Nov2017 0:00:00,00000000009934,1,1,1,0,1,1,0,1,2,28,69000,125000
31Aug2018 0:00:00,00000000009989,1,1,1,0,0,5,0,5,1,58,81000,345000
31May2018 0:00:00,00000000010018,0,0,1,0,1,2,0,4,4,29,59000,124000
30Jun2018 0:00:00,00000000010029,0,1,0,1,0,1,1,6,1,27,69000,127000
31Aug2018 0:00:00,00000000010070,1,1,0,0,0,1,1,3,5,38,13000,144000
31May2018 0:00:00,00000000010091,0,1,1,0,0,2,4,3,2,80,39000,115000
30Sep2018 0:00:00,00000000010154,0,0,1,0,0,2,1,1,5,78,85000,157000
31Oct2017 0:00:00,00000000010163,0,0,1,0,0,1,0,5,4,26,43000,43000
30Apr2018 0:00:00,00000000010165,1,0,1,0,1,6,1,2,5,52,109000,109000
31Dec2017 0:00:00,00000000010278,1,1,1,0,0,5,3,6,1,49,65000,65000
28Feb2018 0:00:00,00000000010435,0,0,1,1,0,2,1,5,1,63,82000,82000
28Feb2018 0:00:00,00000000010445,1,1,0,1,0,2,2,6,2,19,27000,187000
31May2018 0:00:00,00000000010447,1,1,1,0,0,2,0,4,1,74,69000,169000
31Jul2018 0:00:00,00000000010516,0,1,1,0,1,1,0,6,1,64,48000,109000
31Dec2017 0:00:00,00000000010531,0,1,1,1,0,2,3,4,3,60,56000,56000
30Nov2017 0:00:00,00000000010615,1,1,0,0,1,3,0,1,5,47,74000,141000
30Sep2018 0:00:00,00000000010745,0,1,0,0,0,3,0,1,1,79,95000,95000
30Jun2018 0:00:00,00000000010845,0,1,0,0,0,6,0,1,5,42,55000,137000
31Jan2018 0:00:00,00000000011001,0,1,1,0,0,1,0,6,1,77,67000,69000
31Mar2018 0:00:00,00000000011061,1,1,1,0,0,1,1,1,1,68,75000,124000
31Mar2018 0:00:00,00000000011065,0,1,1,0,1,4,0,5,1,20,41000,160000
30Jun2018 0:00:00,00000000011098,0,1,0,0,0,2,4,6,3,74,27000,27000
31Oct2018 0:00:00,00000000011184,1,1,0,0,0,2,0,5,2,50,69000,241000
28Feb2018 0:00:00,00000000011191,1,1,0,1,0,2,1,6,5,27,59000,174000
30Nov2017 0:00:00,00000000011244,0,1,1,0,0,1,3,6,2,55,45000,93000
31Jul2018 0:00:00,00000000011310,0,0,1,0,0,1,0,4,1,44,41000,132000
28Feb2018 0:00:00,00000000011397,1,1,0,0,0,1,2,1,5,50,58000,228000
28Feb2018 0:00:00,00000000011595,0,1,0,0,0,1,0,5,4,38,71000,71000
30Jun2018 0:00:00,00000000011645,0,1,1,0,1,2,0,2,3,38,49000,49000
28Feb2018 0:00:00,00000000011762,1,1,1,0,1,5,0,6,3,32,73000,73000
31Mar2018 0:00:00,00000000011765,1,0,0,0,0,1,0,4,2,26,52000,84000
31Jul2018 0:00:00,00000000011816,1,1,1,0,0,1,0,6,4,70,67000,117000
30Apr2018 0:00:00,00000000011827,1,1,1,0,1,2,0,6,1,47,57000,57000
28Feb2018 0:00:00,00000000011833,0,1,1,0,1,6,2,3,1,25,14000,120000
31Oct2018 0:00:00,00000000011851,1,0,1,0,1,3,0,1,1,50,50000,252000
30Sep2018 0:00:00,00000000011880,0,1,0,0,0,4,2,6,1,47,59000,222000
31Dec2017 0:00:00,00000000011905,0,1,1,0,0,2,4,4,2,66,29000,180000
30Jun2018 0:00:00,00000000011955,1,1,1,0,0,3,0,3,3,63,55000,230000
30Sep2018 0:00:00,00000000011979,1,1,1,0,0,2,0,6,4,33,67000,67000
31Jan2018 0:00:00,00000000012019,1,0,1,0,0,5,0,3,2,43,83000,105000
30Sep2018 0:00:00,00000000012052,1,1,1,0,0,1,0,5,1,26,79000,172000
31Jan2018 0:00:00,00000000012162,0,1,1,0,0,1,0,3,4,58,43000,188000
31Jan2018 0:00:00,00000000012173,0,1,1,0,0,2,1,1,4,999,58000,245000
30Sep2018 0:00:00,00000000012243,1,1,0,0,0,1,0,1,3,47,64000,238000
31Mar2018 0:00:00,00000000012347,1,1,0,0,0,2,1,4,1,24,42000,76000
31May2018 0:00:00,00000000012405,1,0,1,1,0,3,4,1,1,56,69000,243000
31Jul2018 0:00:00,00000000012523,0,1,0,0,1,1,0,2,2,70,34000,205000
30Apr2018 0:00:00,00000000012739,1,0,1,0,1,1,0,4,1,37,54000,54000
28Feb2018 0:00:00,00000000012827,1,1,1,0,0,2,0,3,3,33,34000,135000
30Sep2018 0:00:00,00000000012874,0,1,1,1,0,3,5,1,3,50,43000,100000
30Nov2017 0:00:00,00000000012961,0,1,0,0,1,3,0,4,3,64,55000,141000
28Feb2018 0:00:00,00000000013030,1,0,1,0,0,6,0,6,5,39,26000,26000
31Jul2018 0:00:00,00000000013115,0,1,0,0,1,1,0,5,2,61,72000,72000
31Mar2018 0:00:00,00000000013116,0,1,1,1,1,3,1,4,3,25,29000,172000
31Aug2018 0:00:00,00000000013136,1,0,0,0,0,4,2,6,3,56,52000,213000
31Aug2018 0:00:00,00000000013210,0,1,0,0,1,1,1,1,1,34,42000,53000
31May2018 0:00:00,00000000013225,0,0,1,0,0,3,2,6,1,29,50000,165000
31May2018 0:00:00,00000000013226,0,1,0,0,0,5,0,4,1,39,32000,123000
30Apr2018 0:00:00,00000000013385,0,1,0,0,0,2,0,5,3,20,52000,174000
31Aug2018 0:00:00,00000000013456,1,1,1,0,0,6,0,5,1,89,48000,80000
28Feb2018 0:00:00,00000000013457,1,1,1,1,0,4,6,2,1,62,106000,106000
30Apr2018 0:00:00,00000000013475,0,0,0,0,0,4,0,1,3,29,83000,83000
31May2018 0:00:00,00000000013486,0,0,1,0,0,2,0,5,2,37,53000,142000
30Sep2018 0:00:00,00000000013497,1,1,1,0,0,1,0,4,4,32,57000,93000
31Mar2018 0:00:00,00000000013588,0,1,1,0,0,4,0,6,3,28,70000,194000
30Jun2018 0:00:00,00000000013608,0,1,1,0,0,6,0,5,4,35,94000,201000
31Oct2018 0:00:00,00000000013635,1,0,0,0,0,2,0,3,1,37,88000,88000
28Feb2018 0:00:00,00000000013659,0,1,0,0,0,4,2,5,3,38,59000,145000
28Feb2018 0:00:00,00000000013678,1,0,1,0,1,4,0,6,4,57,88000,152000
30Apr2018 0:00:00,00000000013728,1,1,0,0,0,2,1,6,1,999,97000,97000
30Sep2018 0:00:00,00000000013784,0,0,0,0,1,2,0,1,5,53,51000,54000
30Sep2018 0:00:00,00000000013794,1,0,0,0,0,3,0,6,2,86,72000,74000
31Oct2018 0:00:00,00000000013834,0,1,1,1,1,3,2,3,5,75,48000,48000
30Nov2017 0:00:00,00000000014054,0,0,0,0,1,3,1,3,5,42,47000,212000
31Dec2017 0:00:00,00000000014286,0,0,0,0,0,4,0,1,2,89,47000,47000
31Oct2017 0:00:00,00000000014303,1,1,1,1,0,1,2,6,4,38,40000,244000
31Mar2018 0:00:00,00000000014330,1,1,1,0,0,1,0,4,5,43,62000,63000
31Aug2018 0:00:00,00000000014333,0,1,1,0,0,2,2,6,4,26,46000,110000
30Nov2017 0:00:00,00000000014395,0,1,0,0,1,1,1,6,1,44,60000,72000
31May2018 0:00:00,00000000014456,1,1,0,0,0,3,0,3,2,30,45000,170000
31Jan2018 0:00:00,00000000014506,0,0,0,0,0,1,0,3,1,46,66000,77000
31Dec2017 0:00:00,00000000014532,1,1,0,1,1,1,1,6,1,54,107000,119000
31Oct2018 0:00:00,00000000014579,0,0,0,0,0,2,0,6,5,60,55000,235000
28Feb2018 0:00:00,00000000014677,1,1,1,0,0,6,0,1,1,77,42000,42000
31Oct2017 0:00:00,00000000014709,1,0,0,0,0,6,0,6,4,48,27000,67000
31Jan2018 0:00:00,00000000014868,0,1,1,0,0,4,0,6,1,60,45000,127000
31Aug2018 0:00:00,00000000014913,0,0,1,0,0,3,2,6,5,74,85000,85000
30Jun2018 0:00:00,00000000014914,0,1,1,0,0,6,0,4,2,54,74000,276000
31May2018 0:00:00,00000000014958,0,1,1,0,0,2,0,5,5,60,45000,155000
30Sep2018 0:00:00,00000000015088,0,0,1,1,0,4,2,1,4,32,55000,55000
31Oct2017 0:00:00,00000000015092,0,1,1,0,1,3,0,5,1,42,63000,336000
31Jan2018 0:00:00,00000000015216,1,0,1,0,0,5,0,4,4,42,75000,158000
30Jun2018 0:00:00,00000000015458,1,0,1,1,1,3,1,4,5,63,80000,232000
31Jan2018 0:00:00,00000000015492,1,1,1,1,0,1,1,1,1,31,65000,84000
30Jun2018 0:00:00,00000000015600,1,0,1,0,0,2,0,4,5,33,15000,190000
31Jul2018 0:00:00,00000000015623,0,1,0,0,1,2,1,6,3,37,71000,71000
31Jul2018 0:00:00,00000000015682,0,1,1,0,1,6,0,3,3,44,62000,286000
31Dec2017 0:00:00,00000000015692,1,1,1,0,1,2,0,3,4,55,74000,181000
31Oct2018 0:00:00,00000000015702,1,0,1,0,0,5,0,6,4,49,96000,96000
31Aug2018 0:00:00,00000000015819,1,1,1,1,0,6,1,6,2,39,53000,77000
31Dec2017 0:00:00,00000000015872,0,1,1,1,0,6,2,6,2,45,77000,77000
30Sep2018 0:00:00,00000000016008,1,1,1,0,0,1,0,6,5,87,80000,82000
31Dec2017 0:00:00,00000000016369,1,1,0,0,0,2,0,4,4,29,81000,152000
31May2018 0:00:00,00000000016436,1,1,0,0,0,2,0,6,5,73,48000,51000
30Nov2017 0:00:00,00000000016454,1,1,0,0,0,2,0,6,5,47,12000,192000
31Oct2018 0:00:00,00000000016475,0,1,1,1,0,1,3,5,1,90,55000,55000
30Jun2018 0:00:00,00000000016655,0,1,1,0,0,1,0,4,4,36,86000,86000
30Nov2017 0:00:00,00000000016661,1,1,1,0,0,1,0,5,4,36,86000,86000
30Jun2018 0:00:00,00000000016705,0,0,1,0,0,4,2,4,1,34,58000,58000
31Dec2017 0:00:00,00000000016722,0,1,1,0,0,1,0,6,1,31,53000,96000
31Oct2017 0:00:00,00000000016742,1,1,1,0,0,3,0,2,3,208,79000,171000
31Dec2017 0:00:00,00000000016782,1,1,1,0,0,2,0,6,3,64,83000,281000
31Oct2017 0:00:00,00000000016783,0,1,0,1,1,5,1,6,1,42,47000,97000
30Apr2018 0:00:00,00000000016846,0,1,1,0,0,3,0,5,4,27,45000,149000
31Aug2018 0:00:00,00000000016998,1,1,1,1,1,2,2,1,1,41,53000,118000
30Nov2017 0:00:00,00000000017077,0,0,1,0,0,1,2,4,2,46,60000,72000
30Jun2018 0:00:00,00000000017199,1,0,1,0,1,4,0,2,1,36,44000,138000
28Feb2018 0:00:00,00000000017429,1,1,1,0,0,6,0,6,5,43,53000,191000
30Jun2018 0:00:00,00000000017472,0,0,1,0,1,2,1,1,5,48,19000,26000
31Dec2017 0:00:00,00000000017564,0,0,1,1,1,2,2,6,1,26,83000,217000
31May2018 0:00:00,00000000017699,0,1,1,0,1,1,0,4,2,56,82000,82000
31Dec2017 0:00:00,00000000017714,1,0,1,0,0,6,0,3,1,61,77000,184000
30Nov2017 0:00:00,00000000017784,0,1,1,1,1,1,3,6,5,57,64000,189000
31Jan2018 0:00:00,00000000017792,0,1,1,1,1,2,3,6,5,45,52000,153000
30Sep2018 0:00:00,00000000017935,0,1,1,0,0,5,0,6,2,70,79000,107000
31Aug2018 0:00:00,00000000017963,0,1,1,0,1,3,0,1,2,85,67000,122000
31Aug2018 0:00:00,00000000018017,1,0,0,0,0,2,1,5,1,51,73000,73000
31Oct2017 0:00:00,00000000018037,1,0,1,0,1,2,0,6,1,44,55000,140000
31Aug2018 0:00:00,00000000018109,0,1,0,0,1,4,0,1,4,36,84000,177000
31May2018 0:00:00,00000000018128,0,1,1,0,0,2,1,1,3,62,90000,90000
31Jan2018 0:00:00,00000000018140,1,1,1,0,0,3,0,4,5,28,60000,153000
30Sep2018 0:00:00,00000000018291,1,1,0,1,0,1,1,4,2,64,52000,83000
28Feb2018 0:00:00,00000000018502,1,0,0,1,1,6,2,5,4,73,59000,59000
31Dec2017 0:00:00,00000000018503,1,1,0,0,0,3,2,5,1,54,52000,189000
31Dec2017 0:00:00,00000000018512,1,1,0,0,1,6,0,4,1,27,45000,45000
28Feb2018 0:00:00,00000000018785,1,1,1,0,0,2,0,6,5,62,27000,98000
30Jun2018 0:00:00,00000000018859,1,0,1,1,0,1,5,2,3,38,99000,194000
31Mar2018 0:00:00,00000000018948,1,0,0,0,0,2,6,6,1,62,47000,165000
31Jul2018 0:00:00,00000000018990,0,1,0,0,0,2,0,6,2,50,67000,361000
31Oct2018 0:00:00,00000000019037,1,1,1,0,1,3,0,1,1,40,70000,305000
31Oct2017 0:00:00,00000000019086,1,1,1,0,1,2,3,6,5,69,48000,88000
31Jul2018 0:00:00,00000000019124,1,1,1,0,1,5,0,2,5,999,93000,93000
31Oct2017 0:00:00,00000000019262,0,1,1,0,0,2,0,2,2,40,56000,68000
30Nov2017 0:00:00,00000000019264,1,0,1,0,1,1,0,5,2,68,45000,224000
28Feb2018 0:00:00,00000000019273,1,1,0,0,0,1,0,2,5,46,78000,116000
31May2018 0:00:00,00000000019346,1,1,0,0,0,2,0,1,5,43,73000,125000
28Feb2018 0:00:00,00000000019461,1,1,1,0,0,2,1,3,3,50,31000,49000
31Oct2018 0:00:00,00000000019463,1,1,1,0,0,1,0,4,1,36,74000,176000
30Sep2018 0:00:00,00000000019467,1,1,1,0,0,1,0,4,4,53,56000,74000
30Nov2017 0:00:00,00000000019620,0,1,1,0,0,2,0,4,5,23,50000,265000
31Oct2018 0:00:00,00000000019671,0,0,0,1,0,2,1,1,5,52,66000,168000
31Oct2018 0:00:00,00000000019705,0,1,0,0,0,3,6,4,2,74,37000,37000
31Aug2018 0:00:00,00000000019737,1,1,0,0,0,4,4,6,5,42,32000,205000
31Mar2018 0:00:00,00000000019851,1,0,1,0,1,3,0,5,3,45,57000,281000
31Oct2017 0:00:00,00000000019892,1,1,1,0,0,2,0,3,3,56,60000,60000
31Aug2018 0:00:00,00000000020015,1,1,0,0,0,4,4,4,5,67,57000,63000
30Nov2017 0:00:00,00000000020030,0,0,0,0,0,3,1,3,1,70,93000,138000
31Jul2018 0:00:00,00000000020103,1,0,1,0,0,2,2,6,2,31,75000,161000
30Jun2018 0:00:00,00000000020126,1,1,1,1,0,2,1,4,3,34,44000,99000
30Jun2018 0:00:00,00000000020141,1,1,1,1,1,5,4,6,1,47,42000,184000
30Nov2017 0:00:00,00000000020255,1,0,1,0,1,2,0,1,5,64,79000,114000
31Jul2018 0:00:00,00000000020279,0,1,1,0,0,4,0,4,4,33,39000,39000
31Mar2018 0:00:00,00000000020394,0,1,0,0,0,6,1,6,5,60,62000,62000
30Nov2017 0:00:00,00000000020733,1,0,1,0,0,1,0,6,3,60,49000,55000
31Jul2018 0:00:00,00000000020760,0,0,1,1,0,2,3,6,4,83,59000,59000
31Dec2017 0:00:00,00000000020810,0,0,1,0,0,1,0,4,5,23,76000,154000
31Dec2017 0:00:00,00000000020821,1,0,0,0,0,2,0,5,5,65,51000,279000
31Oct2018 0:00:00,00000000020822,1,1,1,0,0,5,0,1,4,51,68000,102000
31Jul2018 0:00:00,00000000020957,1,1,1,0,0,1,2,4,3,58,66000,105000
31Mar2018 0:00:00,00000000021002,1,1,1,0,0,2,0,6,5,48,60000,60000
30Apr2018 0:00:00,00000000021173,0,1,1,0,0,4,0,4,1,37,87000,263000
31Aug2018 0:00:00,00000000021228,0,0,0,0,0,2,0,6,1,70,88000,137000
31May2018 0:00:00,00000000021282,1,1,1,0,0,2,0,4,5,29,74000,74000
30Apr2018 0:00:00,00000000021297,1,1,0,0,1,6,2,2,1,28,104000,158000
30Nov2017 0:00:00,00000000021323,0,1,0,0,0,1,1,4,5,31,72000,171000
30Apr2018 0:00:00,00000000021439,0,1,1,0,0,1,0,3,4,46,46000,91000
31Oct2017 0:00:00,00000000021457,0,0,1,0,1,1,2,6,3,50,106000,106000
30Sep2018 0:00:00,00000000021629,0,1,1,0,0,2,0,6,1,56,52000,196000
31Jan2018 0:00:00,00000000021634,0,0,1,0,0,3,1,5,4,31,36000,226000
31Jul2018 0:00:00,00000000021737,1,1,0,0,1,1,1,5,1,65,19000,73000
31Oct2017 0:00:00,00000000021860,1,1,0,0,0,2,2,6,1,31,47000,188000
31Oct2017 0:00:00,00000000021870,1,1,1,0,0,3,2,5,2,61,45000,137000
31Oct2017 0:00:00,00000000021994,0,0,0,0,0,3,0,6,4,80,81000,161000
31Dec2017 0:00:00,00000000022160,0,0,1,0,0,3,0,6,1,41,53000,132000
31May2018 0:00:00,00000000022203,0,1,1,0,1,1,0,6,1,35,50000,82000
31Mar2018 0:00:00,00000000022229,0,0,0,0,0,3,2,5,1,26,45000,179000
31May2018 0:00:00,00000000022290,1,1,0,0,0,6,1,4,3,73,95000,251000
31Dec2017 0:00:00,00000000022310,1,1,1,0,0,4,0,6,5,89,38000,38000
30Sep2018 0:00:00,00000000022389,1,1,0,0,0,1,0,5,5,86,77000,352000
31Jul2018 0:00:00,00000000022424,0,1,0,0,0,6,0,2,1,57,84000,93000
30Apr2018 0:00:00,00000000022533,0,0,0,0,0,2,2,4,1,58,81000,81000
30Apr2018 0:00:00,00000000022569,1,1,0,0,0,1,3,2,4,55,86000,129000
31Oct2017 0:00:00,00000000022575,1,0,1,0,0,6,0,4,1,38,33000,186000
30Sep2018 0:00:00,00000000022613,1,0,1,1,0,1,4,5,3,49,40000,225000
31Oct2018 0:00:00,00000000022616,1,1,1,1,0,1,1,5,2,29,32000,76000
31Mar2018 0:00:00,00000000022619,0,1,1,0,0,1,0,4,4,38,57000,184000
30Sep2018 0:00:00,00000000022679,1,0,1,0,0,6,0,6,4,35,40000,239000
31Dec2017 0:00:00,00000000022872,0,0,1,0,0,4,1,4,5,65,42000,76000
28Feb2018 0:00:00,00000000022875,0,1,1,1,0,1,4,5,3,39,33000,36000
31Dec2017 0:00:00,00000000022987,1,1,0,1,0,4,5,5,4,51,26000,26000
31Jul2018 0:00:00,00000000023028,0,0,0,0,0,2,0,6,4,74,42000,104000
30Sep2018 0:00:00,00000000023219,0,1,1,0,0,2,0,6,4,54,91000,180000
31Dec2017 0:00:00,00000000023224,0,0,0,0,1,2,0,5,1,45,103000,209000
30Sep2018 0:00:00,00000000023255,1,1,1,0,1,3,0,1,5,56,42000,115000
30Nov2017 0:00:00,00000000023600,1,1,1,0,1,5,0,5,5,51,59000,59000
30Sep2018 0:00:00,00000000023649,1,0,1,0,1,6,0,6,3,40,21000,21000
31Dec2017 0:00:00,00000000023687,0,1,1,0,1,2,6,6,1,86,49000,97000
31Oct2017 0:00:00,00000000023698,1,1,0,1,0,3,2,5,3,42,58000,58000
28Feb2018 0:00:00,00000000023740,1,1,0,0,1,6,4,4,5,48,33000,60000
